disease_name,associated_disease
外隐斜,睑缘炎
外伤性白内障,青光眼
外伤性白内障, 眼球破裂伤
外伤性白内障, 交感性眼炎
雪盲,恶心和呕吐
旋转隐斜,头痛
霰粒肿,结膜炎
先天性视网膜劈裂,玻璃体积血
细菌性角膜溃疡,角膜炎
先天性青光眼,恶性青光眼
溢泪症,玻璃体混浊
隐斜视,恶心和呕吐
眼眶骨膜炎,脑水肿
原发性共同性内斜视,弱视
原发性非调节性内斜视,弱视
原发性开角型青光眼,高眼压症
眼眶假瘤,暴露性角膜炎
远视眼,恶心和呕吐
原发性视网膜脱离,飞蚊症
眼球突出,结膜充血
眼球穿通伤,头痛
眼内异物,视网膜脱离
眼部带状疱疹,虹膜炎
眼睑皮肤弛缓症,眼睑闭合不全
眼睑带状疱疹,虹膜睫状体炎
圆锥角膜,角膜病
原发性视网膜色素变性,青光眼
眼球震颤,共同性斜视
眼球破裂伤,交感性眼炎
眼球内陷,水肿
眼睑湿疹,结膜炎
翼状胬肉,散光
紫外线伤,结膜充血
中心性渗出性脉络膜视网膜炎,脉络膜出血
真菌性角膜溃疡,虹膜炎
中心性浆液性脉络膜视网膜病变,脉络膜出血
中毒性弱视,屈光不正
周边葡萄膜炎,视神经萎缩
真菌性角膜炎,青光眼
阿斯匹林不耐受三联症,休克
鼻硬结病,嗅觉障碍
鼻出血,再生障碍性贫血
鼻出血, 巨幼细胞性贫血
鼻出血, 慢性疾病的贫血
鼻腔异物,鼻窦炎
鼻息肉,鼻炎
鼻中隔偏曲,鼻中隔脓肿
鼻中隔血肿,脓肿
鼻中隔穿孔,头痛
扁桃体周围脓肿,咽旁脓肿
鼻前庭炎,急性蜂窝组织炎
鼻中隔溃疡,鼻中隔穿孔
鼻石,头痛
鼻瓣区狭窄,特发性面神经瘫痪
病毒性咽炎,恶寒发热
鼻窦炎,化脓性鼻窦炎
鼻恶性肉芽肿,鼻中隔穿孔
白喉,心肌炎
大疱性鼓膜炎,外耳道疖肿
耳源性脑膜炎,慢性化脓性中耳炎
耳后骨膜下脓肿,骨膜炎
腭咽闭合不全,听力障碍
分泌性中耳炎,鼓室硬化症
过敏性鼻炎,中耳炎
干酪性鼻炎,头痛
鼓室硬化症,听力障碍
过强反射性鼻炎,鼻炎
颌骨骨髓炎,贫血
化脓性耳廓软骨膜炎,骨坏死
喉阻塞,呼吸道感染
喉气囊肿,咽喉痛
急性扁桃体炎,蜂窝织炎
急性扁桃体炎, 扁桃体周围脓肿
急性扁桃体炎, 咽旁脓肿
急性扁桃体炎, 风湿热
急性扁桃体炎, 心肌炎
急性扁桃体炎, 关节炎
急性扁桃体炎, 肾炎
茎突综合征,神经衰弱
间断脉冲噪音损伤,耳鸣
甲状舌囊肿及瘘管,咽部异物
急性舌扁桃体炎,脓肿
急性化脓性乳突炎,骨髓炎
急性单纯性咽炎,急性肾炎
急性鼻咽炎,喉炎
急性化脓性中耳炎,化脓性脑膜炎
急性化脓性鼻窦炎,球后视神经炎
急性化脓性鼻窦炎, 植物神经功能紊乱
急性会厌炎,肺水肿
急性喉炎,喉阻塞
急性鼻炎,鼻窦炎
急性鼻炎, 中耳炎
急性鼻炎, 咽炎
急性鼻炎, 喉炎
急性鼻炎, 肺炎
急性鼻炎, 肺炎
急性鼻炎, 风湿热
急性鼻炎, 病毒性心肌炎
急性鼻炎, 急性肾小球肾炎
结核性中耳乳突炎,结核性脑膜炎
酒渣鼻,肝炎
口咽部粘连,吞咽困难
蓝鼓膜与胆固醇肉芽肿,高血压
蓝鼓膜与胆固醇肉芽肿, 化脓性耳廓软骨膜炎
蓝鼓膜与胆固醇肉芽肿, 耳源性脑膜炎
蓝鼓膜与胆固醇肉芽肿, 耳结核
链球菌性咽炎,扁桃体周围脓肿
链球菌性咽炎, 咽旁脓肿
链球菌性咽炎, 咽后脓肿
链球菌性咽炎, 急性淋巴结炎
粒性白细胞缺乏性咽峡炎,肺炎
面肌痉挛,脑脊液漏
迷路炎,耳聋
美尼尔氏综合症,共济失调
迷路震荡,失眠
迷路窗破裂,眩晕
弥漫性外耳道炎,坏死性外耳道炎
慢性舌扁桃体炎,慢性扁桃体炎
慢性额窦炎,骨髓炎
慢性蝶窦炎,脑脊液鼻漏
慢性单纯性咽炎,恶心和呕吐
慢性化脓性中耳炎,脑膜炎
慢性扁桃体炎,急性肾炎
慢性喉炎,咽喉痛
慢性肥厚性鼻炎,三叉神经痛
慢性单纯性鼻炎,脑膜炎
慢性咽炎,急性喉炎
面神经瘤,眩晕
粘连性中耳炎,耳后骨膜下脓肿
粘连性中耳炎, 迷路炎
粘连性中耳炎, 乙状窦血栓性静脉炎
粘连性中耳炎, 耳后骨膜下脓肿
潜水性内耳损伤,耳鸣
气管及食管异物,气管闭合性损伤
气管及食管异物, 气管梗阻
气管及食管异物, 化脓性食管炎
气管及食管异物, 食管损伤
嗜酸细胞增多性非变态反应性鼻炎,鼻肿瘤
鳃裂瘘管,腮腺隙感染
腮腺隙感染,耳聋
突发性聋,眩晕
外耳道异物,细菌感染
萎缩性咽炎,吞咽困难
外耳道疖肿,听力障碍
萎缩性鼻炎,咳嗽
外耳道真菌病,中耳炎
外耳道炎,葡萄球菌感染
外耳湿疹,睡眠障碍
先天性声带发育不良,声带息肉
悬雍垂过长症,咳嗽
先天性小喉,咽喉痛
先天性后鼻孔闭锁,肺炎
先天性喉蹼,呼吸衰竭
先天性喉喘鸣,鸡胸
先天性鼻咽部狭窄及闭锁,吸入性肺炎
先天性鼻部皮样囊肿及瘘管,瘢痕疙瘩
先天性喉闭锁,新生儿窒息
咽部异感症,咽喉炎
硬脑膜外和硬脑膜下脓肿,脑脓肿
咽血管畸形,咽部异物
咽肌痉挛,耳鸣
咽后壁憩室,吞咽困难
咽鼓管阻塞,耳聋
咽鼓管异常开放症,失眠
咽侧壁憩室,吞咽困难
咽部硬结病,耳鸣
咽部异物,败血症
咽部麻风,面瘫
咽部狼疮,吞咽困难
咽部创伤,吞咽困难
咽部瘢痕狭窄,中耳炎
咽角化症,脓毒症和菌血症
咽后脓肿,创伤性窒息
咽旁脓肿,败血症
咽白喉,腹痛
中耳气压伤,鼓膜穿孔
噪声性耳聋,耳鸣
中毒性眩晕,耳鸣
扁平苔癣,舌扁平苔藓
边缘性龈炎,口腔病
变应性口炎,口腔炎
唇裂,唇腭裂
创伤性口炎,鹅口疮
唇病,肉芽肿性唇炎
齿状突发育畸形,斜颈
多形红斑,败血症
单纯性牙周炎,牙龈炎
腭裂,小儿言语和语言障碍
肥大性龈炎,牙周脓肿
氟骨症,骨质增生
氟牙症,腹泻
根尖周病,海绵窦血栓
红斑,多形红斑
坏死性龈口炎,骨坏死
颌面部放线菌病,骨髓炎
颌周蜂窝织炎,颌骨囊肿
颌骨囊肿,颌骨骨髓炎
后牙反合,牙周脓肿
颌骨癌,口腔疾病
急性颌骨骨髓炎,口腔疾病
甲状舌管囊肿与鳃裂囊肿,鳃裂瘘管
急性化脓性腮腺炎,脓肿
颊间隙感染,肿胀
结核性溃疡,头痛
口底多间隙感染,败血症
口腔溃疡,鹅口疮
口腔扁平苔藓,口腔癌
口腔单纯性疱疹,鹅口疮
口腔白斑病,口腔癌
口腔念珠菌病,脑膜炎
颏下间隙感染,静脉炎
眶下间隙感染,急性海绵窦栓塞性静脉炎
开合,热汗
口腔颌面部皮样、表皮样囊肿,吞咽困难
膜性口炎,口臭
磨损,创伤性溃疡
毛舌,口臭
慢性上颌窦炎,肿胀
慢性筛窦炎,鼻出血
慢性筛窦炎, 硬脑膜下血肿
慢性筛窦炎, 颅内出血
慢性筛窦炎, 脑膜炎
慢性筛窦炎, 硬脑膜下脓肿
慢性筛窦炎, 脑脓肿
慢性筛窦炎, 眼球突出
慢性化脓性腮腺炎,肿胀
颞下颌关节紊乱综合征,耳鸣
颞下间隙感染,头痛
颞间隙感染,脑脓肿
颞骨岩部炎,乳突炎
前牙反合,抑郁症
青少年牙周炎,糖尿病型牙周炎
龋齿,根尖周病
前牙深覆盖,消化不良
舌甲状腺,阻塞性睡眠呼吸暂停综合征
舌白斑,舌癌
锁合,畸形性吞咽困难
双颌前突,口腔疾病
深覆合,面部偏侧萎缩
舌下间隙感染,脓肿
上颌前突,前牙反合
舌病,舌炎
四环素牙,牙周炎
上颌后缩,畸形性骨炎
天疱疮,吞咽困难
楔状缺损,根尖周病
下颌后缩,下颌后缩
下颌下隙感染,喉水肿
牙周病,牙周脓肿
牙周萎缩,慢性牙周炎
牙外伤,慢性牙髓炎
牙列拥挤,龋齿
牙列稀疏,精神障碍
牙髓病,牙折
颜面部疖痈,脓毒症
牙隐裂,牙髓炎
遗传性乳光牙,四环素牙
药物性牙龈增生,肿胀
釉质发育不全,牙体缺损
牙齿感觉过敏症,牙龈炎
咬肌间隙感染,肿胀
翼下颌间隙感染,吞咽困难
智齿冠周炎,骨髓炎
肝硬化男性性功能减弱综合征,腹水
淋病合并症前列腺炎,血尿
淋病合并症前列腺炎, 尿道狭窄
淋病合并症精囊炎,尿道狭窄
良性前列腺增生,肾功能衰竭
慢性细菌性前列腺炎,附睾炎
慢性细菌性前列腺炎, 前列腺结石
慢性细菌性前列腺炎, 膀胱颈挛缩
男性不育症,不孕不育
男性更年期综合症,失眠
尿道与阴茎结核,尿道结核
性欲亢进,前列腺炎
小阴茎,早泄
阳痿,早泄
早泄,阳痿
埃里希体病,昏迷
艾滋病,贫血
艾滋病, 腹泻
艾滋病, 痴呆
艾滋病, 充血性心力衰竭
艾滋病, 间质性肾炎
艾滋病, 风湿性关节炎
艾滋病, 多发性肌炎
艾滋病, 低血压
艾滋病, 糖尿病
艾滋病, 肾上腺危象
病毒性肝炎,肝硬化腹水
包虫病,黄疸
巴尔通体病,细菌性肺炎
布氏杆菌病,胆囊炎
布鲁菌病,瘫痪
软产道异常性难产,新生儿窒息
色汗症,多汗症
孢子丝菌病,乳腺炎
硬化剂治疗引起的食管损害,食管穿孔
II型糖尿病,糖尿病足
创伤后应激障碍,反应性精神病
代偿性多汗症,毛囊炎
肠道蛔虫,肠梗阻
传染性脓疱病,败血症
传染性红斑,流产
肺泡-毛细血管阻滞综合征,老年人急性左心衰竭
肺地丝菌病,败血症
传染性软疣,湿疹
肺炎球菌脑膜炎,癫痫
传染性单核细胞增多,心肌炎
肺青霉病,脓肿
传染性湿疹样皮炎,瘙痒症
肺炎克雷白杆菌肺炎,心包炎
单纯性疱疹,单纯疱疹病毒感染症
单纯性疱疹, 新生儿发热
单纯性疱疹, 黄疸
单纯性疱疹, 新生儿肝脾肿大
单纯性疱疹, 意识障碍
肺疟疾病,呼吸衰竭
肺损伤,气胸
肺炎衣原体肺炎,心肌炎
肺癌皮肤转移,血管瘤
呼吸性细支气管炎间质肺病,呼吸衰竭
带状疱疹,恶心和呕吐
带状疱疹, 脑膜炎
带状疱疹, 病毒性脑膜炎
带状疱疹, 昏迷
带状疱疹, 急性胃肠炎
呼吸系统疾病伴发的精神障碍,上消化道出血
地方性斑疹伤寒,肝炎
军团菌肺炎,休克
登革热,肝肾综合征
结核性葡萄膜炎,脓肿
单纯疱疹病毒感染症,意识障碍
金黄色葡萄球菌脑膜炎,脑脓肿
丹毒丝菌病,菌血症
老年急性白血病,播散性血管内凝血
免疫抑制药和抗癌药中毒性肾病,脱发
免疫抑制药和抗癌药中毒性肾病, 急性肾功能衰竭
免疫抑制药和抗癌药中毒性肾病, 溶血尿毒症综合征
免疫抑制药和抗癌药中毒性肾病, 急性肾小管坏死
特发性滴状色素减少症,皮肤过敏
缺血性肠绞痛,肠梗阻
Wegner肉芽肿伴发的葡萄膜炎,视网膜血管炎
Wegner肉芽肿伴发的葡萄膜炎, 复发性多发性软骨炎伴发的葡萄膜炎
小儿金葡菌性烫伤样皮肤综合征,肺炎
二期梅毒,性病
特发性关节痛综合征,骨质增生
小儿肢端肥大症和垂体性巨人症,小阴茎
特发性黄斑裂孔,视网膜脱离
新生儿肺气漏,新生儿呼吸窘迫综合征
新生儿肺气漏, 休克
新生儿肺气漏, 肺动脉高压
新生儿肺气漏, 空气栓塞
特发性急性小管间质性肾炎,贫血
新生儿肝脾肿大,新生儿败血症
新生儿肝脾肿大, 脑膜炎
新生儿肝脾肿大, 化脓性脑膜炎
新生儿肝脾肿大, 肺炎
新生儿肝脾肿大, 肺脓肿
特发性尿钙增多症,尿路感染
特发性尿钙增多症, 继发性甲状旁腺功能亢进症
特发性尿钙增多症, 骨质疏松
放线菌病,胸腔积液
哮喘持续状态,肺心病
副球孢子菌病,肺气肿
小儿哮喘性肌萎缩综合征,肌肉萎缩
风疹,消化道出血
风疹, 便血
风疹, 肾病综合征
风疹, 急性单纯疱疹病毒性脑炎
风疹, 关节炎
风疹, 中耳炎
特发性皮肤钙化病,碱性磷酸钙结晶沉积病
特发性室性心动过速,晕厥
肺结核,心脏病
休止期脱发,头癣
特发性嗜酸性粒细胞增多综合征,充血性心力衰竭
肺吸虫病,胸腔积液
腺病毒感染,支气管炎
特发性心室颤动,阿-斯综合征
关节炎,肿胀
胸壁静脉炎,血栓性静脉炎
疼痛性脂肪疝,丘疹性荨麻疹
锑及其化合物引起的皮肤病,皮炎
静脉曲张,淤积性皮炎
静脉曲张, 血栓性浅静脉炎
静脉曲张, 丹毒
静脉曲张, 急性蜂窝织炎
阻塞性睡眠呼吸暂停综合征,阳痿
滑膜炎,跟腱后滑囊炎
支气管哮喘,肺水肿
锑末沉着症,肺气肿
白大衣高血压,心绞痛
强直型脑瘫,瘫痪
天冬氨酰葡萄糖胺尿症,精神病
窦性心律失常,晕厥
混合型脑瘫,儿童口吃
铁尘肺,肺气肿
钩端螺旋体病,脑病
铜绿假单胞菌感染,休克
软组织损伤,骨质疏松
铜绿假单胞菌性角膜炎,角膜葡萄肿
多囊肝,肝硬化
铜绿色假单胞菌肺炎,菌血症
铜绿色假单胞菌肺炎, 呼吸衰竭
铜绿色假单胞菌肺炎, 肾功能不全
铜绿色假单胞菌肺炎, 胸腔积液
铜绿色假单胞菌肺炎, 消化道出血
二尖瓣和主动脉瓣的疾患,肺动脉高压
肾功能衰竭,高血压
肾功能衰竭, 贫血
肾功能衰竭, 心力衰竭
肾功能衰竭, 心包炎
肾功能衰竭, 心肌病
肾功能衰竭, 肾性骨病
肾功能衰竭, 骨折
铜绿色假单胞菌脑膜炎,昏迷
回归热,脾破裂
回归热, 哮喘
回归热, 多形红斑
回归热, 虹膜睫状体炎
回归热, 脉络膜炎
回归热, 脑膜炎
回归热, 肺炎
回归热, 中耳炎
回归热, 心内膜炎
风湿性边缘性红斑,心肌炎
铜中毒引起的溶血性贫血,黄疸
混合性厌氧菌感染,休克
肥胖性生殖无能综合征,尿崩症
童年情绪障碍,抑郁症
心脏瓣膜病,急性肺水肿
心脏瓣膜病, 急性心力衰竭
心脏瓣膜病, 慢性心力衰竭
心脏瓣膜病, 心力衰竭
心脏瓣膜病, 感染性心内膜炎
高血压病伴发的精神障碍,高血脂
黄热病,弥散性血管内凝血
慢性肾功能不全,骨折
童年社会功能障碍,童年情绪障碍
拔毛狂,肠梗阻
风湿性心脏病,心力衰竭
头部鳞状细胞癌,颈部淋巴结转移癌
心脏病,脑梗塞
感染性心内膜炎肾损害,肾炎
头皮脓疱糜烂性皮病,菌血症
肌肉痉挛,肌肉痉挛
冠状病毒感染,肺炎
黑热病,细菌性痢疾
黑热病, 粒细胞缺乏症
黑热病, 肿胀
黑热病, 淀粉样变性
黑热病, 血尿
脊髓炎,便秘
甲亢合并妊娠,流产
甲亢合并妊娠, 早产
甲亢合并妊娠, 贫血
甲亢合并妊娠, 妊高征
甲亢合并妊娠, 胎盘早剥
甲亢合并妊娠, 充血性心力衰竭
甲亢合并妊娠, 糖尿病
甲亢合并妊娠, 早产儿
甲亢合并妊娠, 胎儿窘迫
甲亢合并妊娠, 新生儿窒息
支气管炎,支气管扩张
慢性附睾炎,男性不育症
头皮损伤,休克
霍乱,急性肺水肿
鲜红斑痣,小儿血管瘤
三尖瓣闭锁不全,充血性心力衰竭
三尖瓣闭锁不全, 心律失常
三尖瓣闭锁不全, 肺栓塞
三尖瓣闭锁不全, 感染性心内膜炎
投掷运动,肿胀
心肌梗死后心包炎,急性心肌梗死
蔓状血管瘤,血管瘤
透明丝孢霉病,脓毒症和菌血症
心包囊肿与心包憩室,上腔静脉综合征
脉管畸形,失血性休克
心包间皮瘤,心力衰竭
甲状腺炎,肿胀
甲亢眼突,水肿
心包转移瘤,心律失常
吞噬功能缺陷病,脾大
甲状腺结节,肝病
胸锁关节脱位,吞咽困难
吞咽困难,反流性食管炎
臀上皮神经干痛,坐骨神经痛
精神障碍,痴呆
假单胞菌感染,关节炎
心尖肥厚型心肌病,猝死
臀位难产,脐带脱垂
巴顿骨折,肿胀
脱水,昏迷
食管炎,缺铁性贫血
姜片虫病,肠梗阻
暴发性紫癜,播散性血管内凝血
脱屑性红皮病,肾炎
视网膜炎,青光眼
丙型肝炎病毒感染与肾小球肾炎,慢性肝炎
脱屑性间质肺炎,气胸
尖锐湿疣,尿路梗阻
残胃淋巴瘤,便血
绞架性骨折或外伤性枢椎椎弓骨折,脊髓损伤
蛋白质-能量营养不良,细菌感染
肠癌,黄疸
切除术后内疝,急性胰腺炎
蛙粪霉病,瘙痒症
胃炎,胃癌
胆囊结石,黄疸
外伤性低颅内压综合征,硬脑膜下血肿
胆源性急性胰腺炎,休克
外伤性脑脊液漏,肺炎
大肠平滑肌肉瘤,肠梗阻
咽炎,急性喉炎
咽炎, 支气管炎
咽炎, 肺炎
咽炎, 脓毒症
咽炎, 慢性喉炎
咽炎, 感冒
咽炎, 咽喉炎
外伤性脑膜炎,肿胀
非甲状腺性的病态综合征,静脉曲张
柯萨奇病毒和埃可病毒感染,肠炎
外伤性脑脓肿,脑室炎
狂犬病,尿崩症
狂犬病, 高血压
狂犬病, 低血压
狂犬病, 心律失常
狂犬病, 体温过低
狂犬病, 呼吸性碱中毒
狂犬病, 充血性心力衰竭
狂犬病, 血栓形成
外伤性脾破裂,肋骨骨折
外伤性脾破裂, 肾损伤
外伤性脾破裂, 脊髓损伤
外伤性脾破裂, 肝损伤
外伤性脾破裂, 肺损伤
外伤性脾破裂, 颅脑损伤
外伤性脾破裂, 胃损伤
中耳炎,慢性中耳炎
肝结核,黄疸
肝结核, 脂肪肝
肝结核, 腹痛
肝结核, 休克
肝结核, 腹膜炎
肝结核, 肝脓肿
肝结核, 脾功能亢进
肝结核, 腹部肿块
肝结核, 腹水
口蹄病,乳腺炎
外伤性乳房血肿,脓肿
外伤性乳房脂肪坏死,乳头内陷
结膜炎,瘢痕性睑内翻
皮炎,淋巴炎
外阴阿米巴病,外阴阿米巴病
生殖道感染,急性女阴溃疡
肝小静脉闭塞症,肺动脉高压
阴道炎,不孕不育
淋病,前列腺炎
淋病, 精囊炎
淋病, 附睾炎
淋病, 尿道炎
淋病, 尿道狭窄
淋病, 盆腔炎
淋病, 盆腔脓肿
淋病, 腹痛
肝血管平滑肌脂肪瘤,腹痛
黄杆菌肺炎,胸腔积液
弱精,输精管堵塞
利斯特菌病,瘫痪
利斯特菌病, 共济失调
结核性宫颈炎,外阴结核
精子畸形,习惯性流产
外阴丹毒,外阴疖病
急性化脓性关节炎,化脓性骨髓炎
子宫内膜薄,不孕不育
类鼻疽,肺脓肿
类鼻疽, 心包积液
类鼻疽, 骨髓炎
类鼻疽, 脾脓肿
类鼻疽, 肝脓肿
类鼻疽, 前列腺炎
类鼻疽, 败血症
外阴恶性横纹肌样瘤,腹膜后淋巴结炎
结肠平滑肌瘤,肠梗阻
输卵管阻塞,月经不调
流行性脑脊髓膜炎,肺炎
流行性脑脊髓膜炎, 中耳炎
流行性脑脊髓膜炎, 化脓性关节炎
流行性脑脊髓膜炎, 脓胸
流行性脑脊髓膜炎, 心肌炎
流行性脑脊髓膜炎, 睾丸炎
流行性脑脊髓膜炎, 附睾炎
流行性脑脊髓膜炎, 血管炎
流行性脑脊髓膜炎, 心包炎
流行性脑脊髓膜炎, 脑积水
流行性脑脊髓膜炎, 先天性脑积水
外阴恶性颗粒细胞瘤,肺转移瘤
急性细支气管炎,呼吸衰竭
流行性乙型脑炎,脑疝
急性附睾炎,慢性附睾炎
黄体功能不全,习惯性流产
外阴恶性神经鞘瘤,神经纤维瘤病
A-V综合征,眼病
外阴恶性纤维组织细胞瘤,外阴瘙痒
酒精性脑萎缩,酒精中毒
肌张力不全型脑瘫,智力低下
肌张力不全型脑瘫, 听力障碍
肌张力不全型脑瘫, 斜视
肌张力不全型脑瘫, 屈光不正
肌张力不全型脑瘫, 小儿言语和语言障碍
肌张力不全型脑瘫, 癫痫
肌张力不全型脑瘫, 偏瘫
肌张力不全型脑瘫, 共济失调
结肠息肉和息肉病,大肠癌
手足徐动性脑瘫,癫痫
外阴汗腺腺癌,外阴瘙痒
结缔组织增生性毛发上皮瘤,皮肤癌
共济失调型脑瘫,癫痫
假性尖锐湿疣,乳头的乳头状瘤
外阴黑色棘皮症,色素斑
结直肠损伤,结肠损伤
口腔尖锐湿疣,恶性肿瘤
流行性斑疹伤寒,急性肾炎
外阴黑色素瘤,外阴溃疡
溃疡性结肠炎性关节炎,结肠癌
外阴横纹肌肉瘤,急性淋巴结炎
类癌综合征,水肿
子宫恶性肿瘤,腹水
阑尾类癌,腹腔脓肿
外阴滑膜肉瘤,淋巴瘤
口腔血管瘤,血管瘤
莱姆病,心肌炎
铅中毒引起的溶血性贫血,贫血
外阴基底细胞癌,皮肤癌
胆管肿瘤,黄疸
胃肠道癌,胃肠道伴癌综合征
胃肠道癌, 化脓性汗腺炎
胃肠道癌, 胃肠道癌皮肤转移
外阴急性蜂窝组织炎,阴道炎
乳腺脂肪瘤,乳腺癌
外阴假上皮瘤样增生,外阴浸润性鳞癌
消化系统疾病伴发的精神障碍,消化道出血
子宫内膜炎,宫腔积脓
子宫内膜炎, 急性弥漫性腹膜炎
子宫内膜炎, 败血症
子宫内膜炎, 感染性休克
外阴疖病,败血症
细菌性心包炎,缩窄性心包炎
细菌性心包炎, 心肌梗塞并发左心室室壁瘤
原发性肝脂肪肉瘤,呃逆
宫颈炎,难产
致死性家族性失眠症,脑萎缩
皮肤白斑,糖尿病
皮肤白斑, 慢性肾上腺皮质功能减退症
外阴接触性皮炎,过敏性皮炎
肩峰骨折,肩关节周围炎
乳腺肿瘤,乳腺癌皮肤转移
外阴结核,肾结核
慢性腹泻,腹膜炎
急性肾小球肾炎,肺水肿
急性肾小球肾炎, 心力衰竭
急性肾小球肾炎, 咳嗽
急性肾小球肾炎, 肝大
急性肾小球肾炎, 高血压
急性肾小球肾炎, 昏迷
急性肾小球肾炎, 视盘水肿
急性肾小球肾炎, 急性肾功能衰竭
急性肾小球肾炎, 血尿
急性肾小球肾炎, 高钾血症
急性肾小球肾炎, 代谢性酸中毒
急性肾小球肾炎, 尿毒症
外阴浸润性鳞癌,泌尿感染
流行性出血性结膜炎,呼吸衰竭
乳腺炎,脓毒症和菌血症
狼疮样综合征,血栓性静脉炎
急性肾功能不全,高血压
急性肾功能不全, 心力衰竭
急性肾功能不全, 心包炎
急性肾功能不全, 代谢性酸中毒
急性肾功能不全, 电解质紊乱
急性肾功能不全, 低钠血症
急性肾功能不全, 便血
急性肾功能不全, 腹胀
急性肾功能不全, 恶心和呕吐
急性肾功能不全, 急性肾功能衰竭
外阴卡波西肉瘤,下肢淋巴水肿
链球菌坏死,败血症
肾功能不全,急性肾功能衰竭
肾功能不全, 心力衰竭
肾功能不全, 心包炎
肾功能不全, 高血压
肾功能不全, 头痛
肾功能不全, 嗜睡症
肾功能不全, 昏迷
肾功能不全, 癫痫
肾功能不全, 恶心和呕吐
肾功能不全, 腹胀
肾功能不全, 电解质紊乱
肾功能不全, 代谢性酸中毒
类固醇5α-还原酶2缺乏综合征,睾丸女性化
外阴颗粒性肌母细胞瘤,外阴颗粒性肌母细胞瘤
霉菌性尿道炎,尿道憩室
外阴克罗恩病,外阴疖病
淋菌性尿道炎,附睾炎
慢性化脓性鼻窦炎,球后视神经炎
外阴溃疡,前庭大腺炎
外阴溃疡, 霉菌性外阴炎
外阴溃疡, 非特异性外阴炎
外阴溃疡, 尖锐湿疣
外阴溃疡, 软下疳
外阴溃疡, 生殖器疱疹
外阴溃疡, 淋病
外阴淋巴管瘤,静脉炎
浅表性胃炎,胃癌
母儿ABO血型不合,新生儿胆红素脑病
外阴隆凸性皮肤纤维肉瘤,皮肤癌
脑血吸虫病,偏瘫
脉管炎,肌肉萎缩
慢性肾小球肾炎,营养不良
慢性肾小球肾炎, 慢性肾炎
慢性肾小球肾炎, 贫血
慢性肾小球肾炎, 尿毒症
慢性肾小球肾炎, 高血压
慢性肾小球肾炎, 心肌病
慢性肾小球肾炎, 心包炎
慢性肾小球肾炎, 肾功能不全
慢性肾小球肾炎, 水肿
囊虫病,视神经萎缩
囊虫病, 玻璃体混浊
囊虫病, 视网膜脱离
囊虫病, 白内障
囊虫病, 青光眼
囊虫病, 听力障碍
囊虫病, 痴呆
囊虫病, 偏瘫
外阴卵黄囊瘤,外阴炎
坏死性脉管炎,气性坏疽
坏死性脉管炎, 溶血性链球菌性坏疽
膜增生性肾小球肾炎,营养不良
膜增生性肾小球肾炎, 高脂血症
膜增生性肾小球肾炎, 肾静脉血栓
膜增生性肾小球肾炎, 肾功能衰竭
膜增生性肾小球肾炎, 水肿
外阴毛囊炎,脓疱疮
慢性嗜酸性粒细胞性肺炎,呼吸衰竭
性功能障碍,早泄
疟疾,血尿
外阴梅克尔细胞癌,毛发上皮瘤
尿毒症肺炎,心内膜炎
血精症,不孕不育
诺卡放线菌病,脓肿
诺卡放线菌病, 多器官功能障碍综合征
尿布皮炎,细菌感染
皮肤念珠菌病,脑膜炎
外阴蛲虫病,阑尾炎
尿道黏膜脱垂,尿路感染
葡萄球菌感染,心内膜炎
外阴黏膜白斑,外阴浸润性鳞癌
膀胱移行细胞癌,肾功能衰竭
外阴佩吉特病,乳腺癌
外阴佩吉特病, 前庭大腺癌
外阴佩吉特病, 基底细胞癌
外阴佩吉特病, 膀胱癌
外阴佩吉特病, 胆囊癌
外阴佩吉特病, 宫颈癌
外阴佩吉特病, 结肠癌
外阴佩吉特病, 膀胱癌
外阴佩吉特病, 乳腺癌
细菌性前列腺炎,慢性细菌性前列腺炎
膀胱白斑病,膀胱炎
外阴皮肤脂溢性皮炎,食管念珠菌感染
急性细菌性前列腺炎,尿潴留
急性细菌性前列腺炎, 精囊炎
急性细菌性前列腺炎, 附睾炎
急性细菌性前列腺炎, 急性膀胱炎
急性细菌性前列腺炎, 性功能障碍
溶血性链球菌性坏疽,脓毒症和菌血症
外阴平滑肌瘤,肉瘤
肾融合,肾积水
外阴平滑肌肉瘤,细菌感染
肾静脉血栓,高血压危象
非淋性前列腺炎,附睾炎
输尿管脱垂,肾积水
全身性念珠菌病,胃肠道功能紊乱
外阴前庭炎,阴道痉挛
肾钙乳,尿道结石
特异性前列腺炎,性功能障碍
潜伏梅毒,梅毒
肾实质性高血压,高血压脑病
外阴乳头状瘤,阴道炎
肾盏积水,肾萎缩
外阴软纤维瘤,阴道炎
精神病,妄想症
外阴色素痣,外阴炎
肾盂输尿管连接部梗阻,肾积水
药物性哮喘,肺不张
Q热,关节痛
Q热, 胸膜炎
Q热, 胸腔积液
Q热, 心包炎
Q热, 心肌炎
Q热, 脊髓炎
肾性氨基酸尿,低钙血症
肾性氨基酸尿, 高尿酸血症
肾性氨基酸尿, 共济失调
肾性氨基酸尿, 网膜炎
肾性氨基酸尿, 胰腺炎
肾异位血管及副血管,尿路梗阻
肾动脉瘤,高血压
肉毒中毒,肺炎
外阴烧伤、烫伤和化学损伤,败血症
外阴烧伤、烫伤和化学损伤, 尿道狭窄
外阴烧伤、烫伤和化学损伤, 大便失禁
