disease_name,cure_method,cure_department,cure_probability
下丘脑多汗症,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",无法根治，多以对症治疗为主
妊娠合并甲状旁腺功能减退,"['药物治疗', '支持性治疗']","['妇产科', '产科']",30%
副牛痘,"['药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",70%
输卵管妊娠流产,"['手术治疗', '药物治疗']","['妇产科', '产科']",70%
下肢动脉硬化闭塞症,"['手术治疗', '、介入治疗、中医中药治疗、', '康复治疗', '支持性治疗']","['外科', '普外科']",10%
妊娠合并肠梗阻,"['手术治疗', '支持性治疗']","['妇产科', '产科']",外科手术治愈率约为95%
光感型药疹,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",85%
慢性细菌性痢疾,"['药物治疗', '支持性治疗']",['传染科'],80%
结核性脑膜炎,"['药物治疗', '对症治疗', '支持性治疗']","['内科', '神经内科']",30%
下肢交通静脉瓣膜关闭不全,"['中西医药物治疗', '交通支静脉结扎', '微创腔镜下交通支静脉结扎', '激光电凝']","['外科', '普外科']",75%
草莓状血管瘤,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤内科']",80%
固定性药疹,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",95%
精神发育迟缓,"['对症治疗', '支持性治疗', '康复治疗']",['精神科'],35%
下肢静脉曲张,"['手术治疗', '支持治疗']","['外科', '普外科']",治愈率80%
肠痉挛,"['药物治疗', '支持性治疗']","['内科', '消化内科']",90%
肝硬化性肾损害,"['药物治疗', '中医治疗', '支持性治疗']","['内科', '肾内科']",65%
下肢静脉血栓形成,['手术治疗'],"['外科', '普外科']",30%
乳突炎,"['药物治疗', '为主，出现并发症需要手术治疗']","['五官科', '耳鼻喉科']",多数可以治愈，少数病例出现严重并发症出现永久性听力损伤
夏伊-德雷格综合征,"['药物治疗', '支持性治疗']","['内科', '神经内科']",40%
淋病性关节炎,"['支持性治疗', '康复治疗', '手术治疗']","['外科', '骨外科']",80%
抽动症,"['中医治疗', '药物治疗', '康复治疗']","['儿科', '儿科综合']",85%
先天性半侧肥大,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '骨外科']",30%
良性头部组织细胞增生症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",98%治愈率
先天性肠闭锁,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '普外科']",85%
慢性纤维性甲状腺炎,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '内分泌科']",70%
青春前期牙周炎,"['康复治疗', '支持性治疗']","['五官科', '口腔科']",98%
尿道综合征,"['药物治疗', '康复治疗', '手术治疗']","['外科', '泌尿外科']",70%
花斑癣,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
先天性大疱性鱼鳞病样红皮病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40-50%
黄褐斑,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
艾滋病人的急性阑尾炎,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",80%
先天性胆总管囊肿,"['手术治疗', '药物治疗', '对症支持治疗']","['内科', '消化内科']",90%
病毒性脑膜炎,"['药物治疗', '康复治疗']","['内科', '神经内科']",80%
复张性肺水肿,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",90%
先天性短食管,"['康复治疗', '支持性治疗', '手术治疗']","['外科', '心胸外科']",60%
传染性单核细胞增多症,"['药物治疗', '支持性治疗', '对症治疗']",['传染科'],80%
出血性脑中风,"['药物治疗', '康复治疗', '支持性治疗']","['内科', '神经内科']",30%
先天性肺动静脉瘘,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '心胸外科']",90%
地方性甲状腺肿,"['药物治疗', '康复治疗', '手术治疗']","['内科', '内分泌科']",95%
青春期厌食症,"['心理治疗', '药物治疗']","['内科', '消化内科']",90%
核黄素缺乏病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
先天性肺发育不全,"['康复治疗', '支持性治疗']","['外科', '心胸外科']",86%
腹外疝,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",90%
先天性副肌强直症,"['药物治疗', '康复治疗']","['内科', '神经内科']",65%-75%
肝纤维板层癌,['手术治疗'],"['肿瘤科', '肿瘤外科']",50%以上
结核性苔藓,"['抗结核治疗', '，对症治疗']","['皮肤性病科', '皮肤科']",90%
先天性副舟骨,"['支持性治疗', '康复治疗']","['外科', '骨外科']",60%
急性脓肿,"['药物治疗', '支持治疗', '手术治疗']","['外科', '普外科']",90%
先天性腹壁肌肉发育不良,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",10%
唇癌,"['手术治疗', '药物治疗', '支持性治疗']","['五官科', '口腔科']",50－80%
先天性肝内胆管囊状扩张症,"['观察', '手术治疗', '药物治疗', '康复治疗']","['外科', '肝胆外科']",50%
黑色棘皮症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",对症治疗为主，治愈率约为30%
钙化性肌腱炎,"['支持性治疗', '康复治疗']","['外科', '骨外科']",80%
先天性肝囊肿,"['药物治疗', '康复治疗']",['肝病'],85%
脑真菌性肉芽肿,"['药物治疗', '支持性治疗']","['外科', '神经外科']",85%
甲癣,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']","98%,易反复发病"
色斑,['药物治疗'],"['皮肤性病科', '皮肤科']",50%
先天性肝纤维化,['药物治疗，支持性治疗'],['肝病'],无法治愈，有效治疗可以控制病情
伤寒性心肌炎,"['药物治疗', '支持性治疗']","['内科', '心内科']",70%
色素性痒疹,['药物治疗'],"['皮肤性病科', '皮肤科']",90%
先天性感觉性神经病,"['药物治疗', '支持性治疗']","['内科', '神经内科']",45%，易复发
伤口肉毒症,"['药物治疗', '支持性治疗']","['内科', '血液科']",80%
大脑萎缩,"['药物治疗', '康复治疗']","['内科', '神经内科']",
先天性肛门直肠畸形,"['手术治疗', '支持性治疗']","['外科', '肛肠科']",50%
肛肠息肉,['手术治疗'],"['外科', '肛肠科']",40%
马尔堡病毒病,"['药物治疗', '支持性治疗']",['传染科'],30%
先天性睾丸发育不全,['支持性治疗'],['男科'],0%
慢性牙周炎,"['手术治疗', '药物治疗']","['五官科', '口腔科']",60%
陶瓷样胆囊,"['药物治疗', '支持性治疗']","['内科', '消化内科']",50%
甲沟炎,"['药物治疗', '支持性治疗']","['外科', '普外科']",80%
先天性厚甲症,"['药物治疗', '手术治疗']","['皮肤性病科', '皮肤科']",1%，以对症治疗为主
胆管结石,['肝内胆管结石、胆囊结石需要手术治疗，胆总管结石可内镜取出，另可以辅以药物治疗如熊去氧胆酸、胆宁片等'],"['外科', '肝胆外科']",80%
血吸虫病与肝胆疾病,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '消化内科']",75%-85%
先天性环状束带,"['药物治疗', '支持性治疗']","['外科', '骨外科']",75%
肛门异物感,"['对症治疗', '外科治疗']","['外科', '普外科']",80%
剥脱综合征,"['药物治疗', '支持性治疗']","['五官科', '眼科']",70%
先天性肌强直,"['药物治疗', '康复治疗']","['儿科', '儿科综合']",10%
面红和面红恐惧症,"['心理治疗', '手术治疗', '药物治疗']","['皮肤性病科', '皮肤科']",40%
先天性肌缺如,"['对症治疗', '康复治疗']","['儿科', '儿科综合']",10%
胆管炎,"['药物治疗', '康复治疗']","['内科', '消化内科']",78%
先天性巨大色素痣,"['手术治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
高位截瘫,"['康复治疗', '支持性治疗']","['外科', '神经外科']",10%
毛发囊肿,"['药物治疗', '手术治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
脓毒症,"['对症治疗，', '支持治疗，抗菌素治疗']",['急诊科'],60%
甲真菌病,"['药物治疗', '对症治疗', '康复治疗']","['皮肤性病科', '皮肤科']",80%
先天性巨输尿管,"['手术治疗', '支持治疗']","['外科', '泌尿外科']",40%
屏幕脸,"['心理治疗', '药物治疗']",['心理科'],80%
麻风性角膜病变,"['药物治疗', '手术治疗', '支持性治疗']",['传染科'],65%
先天性髋关节外展挛缩和骨盆倾斜,"['支持治疗', '康复治疗']","['外科', '骨外科']",80%
高血压性心脏病,"['药物治疗', '持续稳定得控制血压，保护心功能']","['内科', '心内科']",是不能治愈的疾病，必须终生服用药物
先天性梅毒,"['药物治疗', '支持治疗']","['儿科', '儿科综合']",43%
低钙血症,"['药物治疗', '支持性治疗']","['内科', '血液科']",80%
先天性囊状腺样畸形,"['手术治疗', '支持治疗']","['外科', '心胸外科']",50%
高血压眼病,"['药物治疗', '支持性治疗']","['五官科', '眼科']",60%
甲状腺功能亢进性肝病,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",65%
先天性食管狭窄,"['手术治疗', '支持治疗']","['内科', '消化内科']",86%
膀胱膨出,"['手术治疗', '支持性治疗']","['妇产科', '产科']",80%
系统性红斑狼疮性巩膜炎,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",60%
高原病,"['就地抢救，转移至平原地区，药物治疗', '支持性治疗']",['急诊科'],80%
先天性食管重复,"['手术治疗', '药物治疗', '支持治疗']","['外科', '心胸外科']",85%
细粒棘球蚴病,"['药物治疗', '支持性治疗']","['内科', '消化内科']",80%
低颅压综合征,"['药物治疗', '支持性治疗']","['内科', '神经内科']",85%
接触性皮炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
疲劳性骨折,"['支持性治疗', '康复治疗']","['外科', '骨外科']",95%
靶样含铁血黄素沉积性血管瘤,"['药物治疗', '支持性治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",70%
先天性胃出口梗阻,"['手术治疗', '药物治疗', '支持治疗']","['儿科', '小儿外科']",98%
结肠阿米巴,"['病原体治疗对症治疗', '支持性治疗', '手术治疗中医中药治疗']",['传染科'],70%
睾丸畸形,"['手术治疗', '支持性治疗']",['男科'],80%
先天性无虹膜,"['手术治疗', '药物治疗', '支持性治疗']","['五官科', '眼科']",50%
疥疮,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",98%
青少年癫痫,"['药物治疗', '手术治疗']","['内科', '神经内科']",30%
先天性膝关节脱位,"['手术治疗', '支持治疗', '康复治疗']","['外科', '骨外科']",70%
造口旁疝,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",70%
睾丸鞘膜积液,"['支持性治疗', '手术治疗']",['男科'],100%
先天性小肠闭锁和肠狭窄,"['手术治疗', '支持治疗']","['外科', '普外科']",80%
皮肌炎与多发性肌炎,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",60%
寻常型天疱疮,"['药物治疗', '支持性治疗']","['五官科', '口腔科']",40-50%
暗色丝孢霉病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",30%
毛发红糠疹,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",98%
先天性斜颈,"['手术治疗', '支持治疗', '康复治疗']","['外科', '骨外科']",85%
电解质紊乱,"['药物治疗', '支持性治疗']",['急诊科'],80%
烧伤败血症,"['药物治疗', '支持性治疗']","['外科', '烧伤科']",90%
毛发上皮瘤,"['药物治疗', '手术治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
根尖脓肿,"['手术治疗', '支持治疗']","['五官科', '口腔科']",80%
面部粟粒性狼疮,"['药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",30%
宫颈微小型浸润癌,"['药物治疗', '支持性治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",60%
免疫性不孕,"['药物治疗', '支持性治疗']","['妇产科', '妇科']",50%
先天性心包缺如或缺损,"['手术治疗', '药物治疗', '支持治疗']","['内科', '心内科']",50%
麻疹样红斑型药疹,"['对症治疗', '药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",70%
条纹状苔藓,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40%，多以控制症状治疗为主
先天性性联无γ-球蛋白血症,"['对症治疗', '药物治疗', '支持性治疗']","['内科', '血液科']",
宫角妊娠,"['介入治疗', '支持治疗']","['妇产科', '妇科']",60%
玫瑰糠疹,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",90%
先天性胸腹裂孔疝,"['手术治疗', '药物治疗', '康复治疗']","['外科', '普外科']",50%
遗传性乳腺癌-卵巢癌综合征,"['手术治疗', '药物治疗', '支持性治疗']","['妇产科', '妇科']",40%
牙斑,['有效刷牙，洁治'],"['五官科', '口腔科']",100%
毛囊炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",63%，易反复发病
白塞病性巩膜炎,"['药物治疗', '支持性治疗']","['内科', '风湿免疫科']",30%
先天性胸骨后膈疝,['手术治疗'],"['外科', '心胸外科']",90%
蝶窦炎,"['药物治疗', '支持性治疗']","['五官科', '耳鼻喉科']",75%
麻风病,"['对症治疗', '药物治疗', '支持治疗']",['传染科'],40-50%
先天性血管萎缩性皮肤异色症,"['对症治疗', '手术治疗', '药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40%
白血病肾损害,"['药物治疗', '支持性治疗']","['内科', '血液科']",70%
尿潴留,"['手术治疗', '药物治疗', '支持性']","['外科', '泌尿外科']",80--90%
麻疹,"['药物治疗', '支持性治疗']",['传染科'],80%
先天性眼球震颤,['因大部分不影响日常生活，所以不需要治疗。少部分可以手术治疗。'],"['五官科', '眼科']",手术有效率约75%
白血病视网膜病变,"['药物治疗', '中医治疗', '支持性治疗']","['五官科', '眼科']",75%
空调病,"['药物治疗', '支持性治疗']","['其他科室', '其他综合']",90%
女子颜面黑变病,"['药物治疗', '支持性治疗', '手术治疗']","['皮肤性病科', '皮肤科']",65%-75%(激光治疗)
败血症肾损害,"['药物治疗', '支持性治疗']","['内科', '肾内科']",45%
先天性再生障碍性贫血,"['骨髓移植', '药物治疗', '支持治疗']","['内科', '血液科']",78%
口炎,"['药物治疗', '康复治疗', '支持性治疗']","['五官科', '口腔科']",95%以上
脓肿,"['药物治疗', '支持性治疗']","['外科', '普外科']",88%
先天性支气管肺囊肿,"['药物治疗', '康复治疗']","['外科', '心胸外科']",40-60%
斑状白化病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",对症治疗为主，无法根治
脓疱型银屑病,"['药物治疗', '中医治疗', '物理治疗', '支持治疗']","['皮肤性病科', '皮肤科']",20%
脓疱疮,"['药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",95%
先天性支气管囊肿,"['手术治疗', '药物治疗', '支持治疗']","['外科', '心胸外科']",70%
斑状萎缩,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",55%-75%
显微型多血管炎,"['药物治疗', '支持性治疗']","['内科', '血液科']",60%
动脉栓塞,"['手术治疗', '药物治疗']","['内科', '心内科']",65%
线粒体病,"['无特殊治疗', '对症治疗为主']","['内科', '神经内科']",40%
瘢痕癌,"['支持性治疗', '康复治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",10%以下
牛皮癣,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",90%治愈率
肋软骨炎,"['药物治疗', '支持性治疗，如果长期治疗无效疼痛严重和肿瘤鉴别困难可以考虑切除肋软骨']","['外科', '心胸外科']",80%
板层状鱼鳞病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",40%-60%以控制症状治疗为主
线粒体脑肌病,"['药物治疗', '支持治疗']","['内科', '神经内科']",65%
风湿病,"['药物治疗', '物理治疗', '手术治疗', '支持治疗']","['内科', '风湿免疫科']",30%
皮样囊肿,['手术治疗'],"['五官科', '口腔科']",90%
半月线疝,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",80%
线状IgA大疱性皮肤病,"['药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",75%-80%
颅裂,"['药物治疗', '康复治疗']","['外科', '神经外科']",75%
腺病毒性肠炎,"['对症治疗', '药物治疗', '支持治疗']",['传染科'],92%
葡萄球菌性烫伤样皮肤综合征,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70-80%
女性假两性畸形,"['支持性治疗', '康复治疗']","['外科', '整形美容科']",90%
半椎体畸形,"['支持性治疗', '康复治疗']","['外科', '骨外科']",80%
腺病毒性肺炎,"['药物治疗', '支持治疗']","['内科', '呼吸内科']",70%
多动症,"['药物治疗', '康复治疗']","['儿科', '小儿内科']",75%
伴齿状突骨折的寰枢椎前脱位,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",90%
向颈段脊髓供血的根动脉缺血症候群,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '普外科']",75%
伴纤维囊性骨炎的假性甲状旁腺功能低下症,"['药物治疗', '支持性治疗']","['内科', '内分泌科']",45%
向胸腰段脊髓供血的大根动脉缺血症候群,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '普外科']",70%
牙周脓肿,"['手术治疗', '药物治疗']","['五官科', '口腔科']",80%
鲍恩病,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",40%
项痈,"['手术治疗', '药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",85%
颅脑损伤,"['非手术治疗', '手术治疗']","['外科', '神经外科']",60%
鲍温样丘疹病,"['药物治疗', '支持性治疗', '物理治疗']","['皮肤性病科', '皮肤科']",60%
功能性胃肠病,"['药物治疗', '支持性治疗']","['外科', '肝胆外科']",80%
橡胶制品所致的皮肤病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
暴发性痤疮,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
颅内出血,"['手术治疗', '药物治疗', '支持治疗']","['外科', '神经外科']",50%
贝克痣,"['手术治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
女性癫痫,"['药物治疗', '支持治疗']","['内科', '神经内科']",60%
疱疹样湿疹,"['对症治疗', '药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",70%
儿童股骨头坏死,"['支持性治疗', '康复治疗']","['儿科', '小儿外科']",90%
小肠过敏性紫癜,"['药物治疗', '手术治疗', '支持治疗']","['内科', '消化内科']",80%
背部弹力纤维瘤,"['药物治疗', '支持性治疗', '手术治疗']","['肿瘤科', '肿瘤外科']",80%
睾丸囊肿,"['药物治疗', '手术治疗', '康复治疗']","['外科', '泌尿外科']",95%
鼻部穿通性毛囊炎,"['药物治疗', '中医治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",63%，易反复发病
小肠结肠炎耶尔森菌肠炎,"['药物治疗', '支持治疗']","['内科', '消化内科']",80%
卵巢囊肿蒂扭转,"['手术治疗', '药物治疗']","['妇产科', '妇科']",98%
小肠结肠炎耶尔森菌肺炎,"['药物治疗', '支持治疗']","['内科', '呼吸内科']",50-70%
鼻疽假单胞菌肺炎,"['药物治疗', '支持性治疗']",['传染科'],65%
睑内翻,['手术治疗'],"['五官科', '眼科']",60%
鼻旁窦支气管综合征,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",90%
小肠类癌,"['手术治疗', '药物治疗', '支持治疗']","['肿瘤科', '肿瘤内科']",80%能够有效控制不再发展
卵巢性不孕,"['药物治疗', '手术治疗']","['妇产科', '妇科']",60%
闭孔疝,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '普外科']",80%
小肠平滑肌瘤,"['手术治疗', '药物治疗', '支持治疗']","['外科', '普外科']",80%
小儿支气管炎,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",治愈率99%
闭塞性动脉硬化,"['手术治疗', '药物治疗', '支持性治疗']","['内科', '血液科']",74%
小肠平滑肌肉瘤,"['手术治疗', '药物治疗', '支持治疗']","['肿瘤科', '肿瘤外科']",外科手术治愈率约为65%
全身化脓性感染,"['抗菌素治疗，', '对症治疗，支持治疗']","['外科', '普外科']",85%
麻痹性睑外翻,['手术治疗'],"['五官科', '眼科']",80%
闭塞性血栓性脉管炎,"['药物治疗', '手术治疗', '支持性治疗']","['外科', '普外科']",70%
小肠腺癌,"['手术治疗', '药物治疗', '支持治疗']","['肿瘤科', '肿瘤内科']",10%
耳结核,['药物治疗，出现严重并发症死骨形成可手术清除病灶'],"['五官科', '耳鼻喉科']",90%
闭锁肺综合征,"['康复治疗', '支持性治疗', '手术治疗']","['内科', '呼吸内科']",75%
小肠腺瘤,"['手术治疗', '药物治疗', '支持治疗']","['外科', '普外科']",40%
慢性粒单核细胞白血病,"['药物治疗', '支持性治疗']","['内科', '血液科']",10%
小肠血管畸形,"['手术治疗', '物理治疗', '药物治疗', '支持治疗']","['外科', '普外科']",60%
膝内翻,"['手术治疗', '康复治疗']","['外科', '骨外科']",60%
褥疮,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",60%
臂丛神经损伤,"['手术治疗', '康复治疗', '支持性治疗']","['外科', '骨外科']",80%
骨癌,"['手术治疗', '放射治疗', '药物治疗', '支持治疗']","['外科', '骨外科']",40-50%(外科手术治疗)
变态反应性结膜炎,"['药物治疗', '支持性治疗']","['五官科', '眼科']",70%（往往反复发作，现阶段尚无有效的方法根治。）
返流性胆管炎,"['手术治疗', '支持治疗']","['内科', '消化内科']",60%
小肠血管瘤,['手术治疗'],"['外科', '普外科']",80%
变形杆菌肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",60%-70%
马蹄形肾,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '泌尿外科']",80%，必要可以肾移植
小肠异物,"['药物治疗', '手术治疗', '支持治疗']","['内科', '消化内科']",85%
变性性近视的眼底损害,"['药物治疗', '支持性治疗']","['五官科', '眼科']",30-90%
眼底出血,"['药物治疗', '支持性治疗']","['五官科', '眼科']",30%
小肠原发性恶性淋巴瘤,"['手术治疗', '药物治疗', '支持治疗']","['肿瘤科', '肿瘤外科']",40%
变异型心绞痛,"['药物治疗', '手术治疗', '支持性治疗']","['内科', '心内科']",70-80%
神经性皮炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%，易反复发病
小肠脂肪瘤,"['手术治疗', '药物治疗', '支持治疗']","['外科', '普外科']",89%
变异型预激综合征,"['康复治疗', '支持性治疗']","['内科', '心内科']",射频消融治疗，治愈率60-70%
瘙痒症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
放射性口炎,"['康复治疗', '支持性治疗']","['五官科', '口腔科']",98%
小袋纤毛虫病,"['药物治疗', '支持性治疗']","['内科', '消化内科']",65%-75%
变异性红斑角化病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
小儿Alstrom综合征,"['药物治疗', '支持性治疗，对症治疗']","['儿科', '儿科综合']",0.001%
输卵管性不孕,"['手术治疗', '中医治疗']","['妇产科', '妇科']",40-60%
晒伤,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",99%
变应性皮肤血管炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
小儿IgA肾病,"['药物治疗', '支持治疗', '肾移植']","['儿科', '小儿内科']",65%
骨坏死,"['支持性治疗', '康复治疗']","['外科', '骨外科']",50%
表皮囊肿,"['手术治疗', '药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
小儿X-连锁高免疫球蛋白M血症,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",无法根治，主要以对症治疗为主
表皮葡萄球菌肺炎,"['药物治疗', '支持性治疗']","['内科', '呼吸内科']",经过系统治疗后一般90%能够治愈。
小儿X-连锁淋巴组织增生性疾病,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",70%
手足癣,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70-85%
表皮松解性棘皮瘤,"['手术治疗', '药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",75%
小儿X-连锁无丙种球蛋白血症,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",60%
表皮痣,"['药物治疗', '支持性治疗', '手术治疗']","['皮肤性病科', '皮肤科']",65%
湿疹,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",90%，易反复发病
淋巴炎,"['药物治疗', '支持治疗']","['内科', '呼吸内科']",40-60%
小儿X-连锁严重联合免疫缺陷病,"['药物治疗', '支持性治疗', '手术治疗']","['儿科', '小儿内科']",外科手术治愈率约30-50%
宾斯旺格病,"['药物治疗', '支持性治疗']","['内科', '神经内科']",10%
深脓疱病,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
小儿α1-抗胰蛋白酶缺乏症,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",40%
骨结核,"['手术治疗', '药物治疗', '支持治疗']","['外科', '骨外科']",91%
髌股关节软骨损伤,"['手术治疗', '药物治疗', '支持性治疗']","['外科', '骨外科']",外科手术治愈率约为65%-75%
色素性荨麻疹,"['药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",50%
小儿α-地中海贫血,"['药物治疗', '支持治疗']","['内科', '血液科']",30%
非特异性外阴炎,"['药物治疗', '物理治疗']","['妇产科', '妇科']",60%
髌骨骨软骨病,"['药物治疗', '支持性治疗', '手术治疗']","['外科', '骨外科']",70%
小儿β地中海贫血,"['药物治疗', '支持治疗']","['内科', '血液科']",35%
丙酮酸激酶缺乏症,"['药物治疗', '支持性治疗', '手术治疗']","['内科', '血液科']",75%
小儿阿姆斯特丹型侏儒,"['药物治疗', '支持治疗', '手术治疗']","['内科', '内分泌科']",30%
并发截瘫的脊柱结核,"['手术治疗', '支持性治疗', '康复治疗']","['外科', '骨外科']",外科手术治愈率约为70%
小儿阿托品类中毒,"['药物治疗', '支持治疗']","['儿科', '小儿内科']",90%
并发症白内障,"['药物治疗', '支持性治疗']","['五官科', '眼科']",90%(外科手术治疗)
小儿埃博拉病毒病,"['中医治疗', '支持性治疗']",['传染科'],无法根治，对症治疗为主
病毒性出血热,"['药物治疗', '对症治疗', '支持性治疗']",['传染科'],60%
输卵管妊娠破裂,"['药物治疗', '手术治疗']",['急诊科'],90%
秃头,"['药物治疗', '手术治疗', '支持治疗']","['皮肤性病科', '皮肤科']",80%
截瘫,"['物理治疗', '心理治疗', '康复治疗', '支持性治疗']","['内科', '神经内科']",低
小儿埃可及柯萨奇病毒感染,"['中医治疗', '支持治疗']","['内科', '血液科']",75%
小儿埃莱尔-当洛综合征,"['支持性治疗', '康复治疗', '手术治疗']","['儿科', '小儿内科']",40%
病毒性食管炎,"['药物治疗', '康复治疗']","['内科', '消化内科']",80%
骨筋膜室综合症,"['支持性治疗', '康复治疗']","['外科', '骨外科']",90%
玻璃体及视网膜脱离手术所致青光眼,"['药物治疗', '支持性治疗']","['五官科', '眼科']",35%
荨麻疹型药疹,"['病因治疗', '对症治疗', '药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",85%
小儿爱德华兹综合征,"['药物治疗', '支持性治疗']","['儿科', '小儿内科']",对症治疗为主，无法根治
荨麻疹和血管性水肿,"['对症治疗', '药物治疗', '支持治疗']","['皮肤性病科', '皮肤科']",完全治愈率约为30%
剥脱性唇炎,"['药物治疗', '中医治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",55-65%
眼外伤,"['手术治疗', '药物治疗']","['五官科', '眼科']",50%
播散性复发性漏斗部毛囊炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",80%
小儿鞍上生殖细胞瘤,"['药物治疗', '康复治疗', '手术治疗']","['内科', '神经内科']",外科手术治愈率约为50-70%
荨麻疹性血管炎,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",70%
脊椎炎,"['物理治疗', '康复治疗']","['外科', '骨外科']",30%
播散性黄瘤伴尿崩症,"['药物治疗', '支持性治疗']","['皮肤性病科', '皮肤科']",71%
小儿巴德-吉亚利综合征,"['介入治疗', '康复治疗']","['儿科', '儿科综合']",70%
输卵管肿瘤,"['药物治疗', '支持性治疗']","['肿瘤科', '肿瘤外科']",40%
