disease_name,check_method
骶髂关节结核,"['结核杆菌检查', '结核菌素试验（OT,PPD）', '戈德伟特试验', '提腿试验', '坐位旋转试验', '四肢的骨和关节平片']"
骶髂关节扭伤,"['床边试验', '骨盆分离试验', '陆温试验', '提腿试验', '足－嘴试验', '四肢的骨和关节平片', '旋转试验']"
风湿性关节炎,"['类风湿因子', '血清铜（Cu2+,Cu)', '抗血小板膜糖蛋白自身抗体', '风湿病化验检查项目', '四肢的骨和关节平片']"
腓骨近端骨折,"['四肢的骨和关节平片', 'CT检查']"
Friedreich共济失调症,"['脑电图检查', '脊椎平片', '神经系统核医学检查', '颅脑MRI检查', '神经系统检查', '脊柱椎体平扫']"
腓骨肌萎缩症,"['神经系统检查', '神经系统核医学检查', '肌电图']"
骨肉瘤,"['碱性磷酸酶染色', '骨显像', '骨关节及软组织CT检查', '免疫病理检查', '四肢的骨和关节平片', '血管造影', '计算机三维重建技术']"
骨折,"['四肢的骨和关节平片', '关节检查', '骨与关节MRI检查', 'CT检查', '骨骼动诊']"
感染性关节炎,"['四肢的骨和关节平片', 'C-反应蛋白检验（CRP）', '白细胞计数（WBC）', '类风湿因子']"
关节脱位,"['骨骼触诊', '骨骼视诊', '肩关节脱位的恐惧试验', '四肢的骨和关节平片', '骨与关节MRI检查', 'CT检查']"
跟骨骨折,"['关节检查', '四肢的骨和关节平片']"
肱骨干骨折,"['肌电图', '关节检查', '骨与关节MRI检查']"
肱骨髁上骨折,"['关节镜检查', '肘后三角检查', '四肢的骨和关节平片']"
肱骨内髁骨折,['四肢的骨和关节平片']
肱骨外髁骨折,"['关节镜检查', '四肢的骨和关节平片']"
佝偻病,"['四肢的骨和关节平片', '维生素', '维生素D', '尿氯', '脑脊液无机磷', '骨碱性磷酸酶']"
股骨粗隆间骨折,['四肢的骨和关节平片']
股骨干骨折,"['克利曼征', '四肢的骨和关节平片']"
骨硬化病,"['四肢的骨和关节平片', '酸性磷酸酶', '维生素D', '维生素']"
骨放线菌病,"['脓汁和创伤感染标本细菌学检查', '骨关节及软组织CT检查', '血常规', '细菌学检验', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
骨化性肌炎,"['四肢的骨和关节平片', '关节镜检查', '肌电图', '骨关节及软组织CT检查', 'X线碘油造影']"
骨巨细胞瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
骨囊肿,"['骨关节及软组织CT检查', '免疫病理检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
骨盆骨折,"['骨关节及软组织CT检查', '骨盆挤压试验', '四肢的骨和关节平片', '骨与关节MRI检查']"
骨纤维异常增殖症,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查', 'X线碘油造影', '血液检查']"
骨软骨瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
肱骨小头骨折,['四肢的骨和关节平片']
骨干续连症,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
骨与关节结核,"['结核杆菌检查', '骨关节及软组织CT检查', '血常规', 'X线碘油造影', '四肢的骨和关节平片']"
骨肿瘤,"['骨关节及软组织CT检查', '血液检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
股骨大粗隆结核,"['结核杆菌检查', '骨关节及软组织CT检查', '血常规', '四肢的骨和关节平片']"
肱骨远端全骺分离,"['骨关节及软组织CT检查', '四肢的骨和关节平片', 'X线碘油造影', '骨与关节MRI检查', '血液检查']"
肱骨内上髁骨折,['四肢的骨和关节平片']
骨包囊虫病,"['四肢的骨和关节平片', '补体结合试验', '皮内试验']"
股骨头骨骺骨软骨病,"['四肢的骨和关节平片', '骨与关节MRI检查']"
骨样骨瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
骨髓炎,"['C-反应蛋白检验（CRP）', 'X线碘油造影', '骨与关节MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片', '血常规', '血清C1q', '全身骨骼疾病排查', '血清补体C1q']"
肱骨外上髁炎,"['网球肘试验', '四肢的骨和关节平片', '前臂屈肌紧张试验']"
腘肌腱损伤,['四肢的骨和关节平片']
跟腱前囊炎,"['四肢的骨和关节平片', '挤压小腿三头肌试验', '白细胞计数（WBC）', '骨与关节MRI检查']"
骨与关节梅毒,"['骨关节及软组织CT检查', '关节镜检查', '四肢的骨和关节平片', '梅毒确诊试验', '血常规', '梅毒螺旋体抗原血清试验']"
骨外软骨肉瘤,"['骨与关节MRI检查', '四肢的骨和关节平片', '嗜异性凝集吸收试验']"
骨旁骨肉瘤,"['四肢的骨和关节平片', '骨关节及软组织CT检查', '骨与关节MRI检查']"
骨膜性软骨肉瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查', '血液检查']"
骨的原发性淋巴瘤,"['四肢的骨和关节平片', '淋巴显像', '骨与关节MRI检查', '血液检查']"
骨雅司病,"['四肢的骨和关节平片', '华氏反应', 'X线碘油造影', '皮肤病的物理检查']"
股骨髁骨折,['四肢的骨和关节平片']
跟骨骨髓炎,"['四肢的骨和关节平片', 'CT检查', '白细胞计数（WBC）', '骨髓象分析', '血常规']"
高弓足,"['四肢的骨和关节平片', '肌电图', '骨与关节MRI检查', 'X线碘油造影']"
股骨颈骨折,"['四肢的骨和关节平片', '艾利斯征']"
肱骨外科颈骨折,"['四肢的骨和关节平片', '梳头试验', '三角试验']"
股骨头坏死,"['四肢的骨和关节平片', '四肢CT检查', '4字试验', '血常规']"
肱骨内上髁炎,"['四肢的骨和关节平片', '前臂屈肌紧张试验', '白细胞计数（WBC）', '前臂伸肌紧张试验', '血液检查']"
股后肌劳损,"['四肢的骨和关节平片', '4字试验']"
跟腱后滑囊炎,"['白细胞计数（WBC）', '血液检查', '四肢的骨和关节平片', 'CT检查']"
跟骨骨刺综合征,"['血液检查', '四肢的骨和关节平片', '骨与关节MRI检查', 'CT检查']"
颌骨骨折,"['核磁共振成像(MRI)', '四肢的骨和关节平片', '咬合关系检查', '颌面五官CT检查']"
喙突胸小肌综合征,"['X线碘油造影', '四肢的骨和关节平片']"
寰枢椎旋转脱位固定,"['骨关节及软组织CT检查', '脊椎平片', '骨与关节MRI检查', '颈椎CT检查']"
寰枢关节脱位,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查', 'CT检查']"
化脓性关节炎,"['滑膜液肉眼检查', '类风湿因子', '滑膜液常规检查', '滑膜液常规检查', '滑膜液肉眼检查', '骨关节及软组织CT检查', '免疫电泳', '四肢的骨和关节平片', '闭孔内肌征']"
颌骨造釉细胞瘤,"['核磁共振成像(MRI)', 'CT检查']"
踝部骨折,"['骨关节及软组织CT检查', '血液检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
踝关节扭伤,"['四肢的骨和关节平片', '抽屉试验']"
滑囊炎,"['关节腔液检查', '四肢的骨和关节平片']"
滑膜肉瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '血管造影', '骨与关节MRI检查']"
横纹肌肉瘤,"['尿液分析', '颅底片']"
褐黄病性关节炎,"['类风湿因子（RF）', '白细胞计数（WBC）', '风湿病化验检查项目', '四肢的骨和关节平片']"
颌面部骨巨细胞瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
踝扭伤,"['抽屉试验', '四肢的骨和关节平片']"
间充质软骨肉瘤,"['骨关节及软组织CT检查', '血液检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
假痛风性关节炎,"['骨关节及软组织CT检查', '血液检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
距骨骨折,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查', '血液检查']"
局限性骨脓肿,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '血常规']"
颈肋综合征,"['骨关节及软组织CT检查', '四肢的骨和关节平片']"
肩-手综合征,"['四肢的骨和关节平片', '举一手试验']"
脊椎椎弓峡部裂,"['脊柱MRI检查', '脊椎平片', '骨关节及软组织CT检查', '四肢的骨和关节平片', 'X线碘油造影']"
脊椎结核后突畸形,"['脊柱MRI检查', '脊椎平片', '四肢的骨和关节平片', '脊柱检查', 'X线碘油造影']"
脊椎结核并发截瘫,"['脊柱MRI检查', '四肢的骨和关节平片', '脉波']"
脊柱侧凸,"['脊柱MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片', '肌电图', '肺功能检查']"
脊柱、脊髓损伤,"['骨与关节MRI检查', '四肢的骨和关节平片', '骨关节及软组织CT检查']"
脊髓空洞症,"['脊柱MRI检查', '肌电图']"
急性血源性骨髓炎,"['脊柱MRI检查', '血常规', '血液检查', '骨显像']"
畸形性骨炎,"['骨与关节MRI检查', '骨关节及软组织CT检查', '手畸形检查', '四肢的骨和关节平片', '尿羟脯氨酸']"
肌萎缩侧索硬化症,"['磷酸肌酸激酶', '肌电图', '神经系统检查', '副神经检查', '核磁共振成像(MRI)']"
急性腰扭伤,"['仰卧挺腹试验', '四肢的骨和关节平片']"
肩关节脱位,"['杜加斯征', '梳头试验', '三角试验', '骨关节及软组织CT检查', '肩外展摆动试验', '肩关节脱位的恐惧试验', '方肩检查', '肩胛骨检查']"
脊椎结核寒性脓肿穿入空腔脏器,"['四肢的骨和关节平片', '结核杆菌血清学检查（anti-TB）', 'CT检查']"
脊髓肿瘤,"['脊柱MRI检查', '共济失调的检查', '神经系统检查', '脑脊液蛋白定量', '脑脊液钾']"
距骨后外结节骨折,"['四肢的骨和关节平片', 'X线碘油造影', 'CT检查', '血液检查']"
肌张力异常,"['颅脑CT检查', '肌电图', '反击征', '核磁共振成像(MRI)', '脑电图检查']"
痉挛性斜颈,"['四肢的骨和关节平片', '尿常规', '肌电图']"
肌腱炎和腱鞘炎,['斯比德试验']
脊髓灰质炎,"['脊髓灰质炎病毒抗体', '脊柱MRI检查', '脑脊液蛋白电泳', '心电图', '血常规', '维生素C', '补体结合试验', '肌电图']"
胫骨髁骨折,"['四肢的骨和关节平片', '骨关节及软组织CT检查', 'X线碘油造影', '骨与关节MRI检查']"
胫骨内髁骨软骨病,"['四肢的骨和关节平片', 'X线碘油造影', '核磁共振成像(MRI)', 'CT检查']"
胫骨结节骨软骨病,['四肢的骨和关节平片']
胫腓骨干骨折,"['外科检查', '四肢的骨和关节平片']"
进行性脊髓性肌萎缩症,"['神经系统检查', '肌电图', '颅脑MRI检查', '颅脑CT检查']"
进行性骨干发育不全,"['骨与关节MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片', 'X线碘油造影', '螺旋CT检查']"
甲状旁腺骨营养不良,"['甲状腺、甲状旁腺的超声检查', '血清钙', '血清磷（Pi）', '维生素', '甲状旁腺激素', '维生素D']"
脊椎结核并发窦道,"['脊柱MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片', '结核杆菌检查']"
脊椎骨髓炎,"['脊柱MRI检查', '骨三相显象', '血常规', '脊柱椎体平扫', '白细胞计数（WBC）']"
肌萎缩性侧索硬化,"['肌电图', '神经系统检查']"
胫腓骨骨折,"['四肢的骨和关节平片', '骨关节及软组织CT检查', '骨与关节MRI检查', '外科检查', 'X线碘油造影', '血管彩超']"
僵鉧,"['四肢的骨和关节平片', 'CT检查', '血液检查']"
胫后神经痛,"['四肢的骨和关节平片', 'Tinel征', '肌电图']"
眶底骨折,"['眼球及眼眶检查法', '眼球和眼眶的超声检查', '眼及眶区CT检查']"
髋关节脱位,"['关节检查', '四肢的骨和关节平片', '布莱恩特三角检查', '特伦德伦伯格试验', '托马斯试验', '拳叩试验', '望远镜试验', '内拉通线检查', '尼拉通线测量', '髂胫束紧张试验']"
髋关节结核,"['骨关节及软组织CT检查', '结核杆菌检查', '托马斯试验', '特伦德伦伯格试验', '单腿站立试验', '四肢的骨和关节平片', '4字试验', '髂胫束紧张试验', '拳叩试验', '结核菌素试验（OT,PPD）']"
肋锁综合征,"['血管造影', '肌电图', '四肢的骨和关节平片']"
梨状肌综合征,"['四肢的骨和关节平片', '神经系统检查', '踝反射', '肌电图']"
Maffucci综合征,"['骨与关节MRI检查', '骨关节及软组织CT检查', '四肢的骨和关节平片']"
慢性化脓性骨髓炎,"['骨与关节MRI检查', '骨关节及软组织CT检查', '骨髓显像', 'X线碘油造影', '四肢的骨和关节平片', '血常规']"
难产,"['骨盆内测量', '产科B超', '骨盆测量', '胎势', '心电图', '血液检查']"
颞骨骨折,"['颅底片', '头颅平片', '颅脑CT检查']"
颞下颌关节脱位,"['颞下颌关节造影', '颞下颌关节检查', 'CT检查']"
颞下颌关节强直,"['颞下颌关节造影', '颞下颌关节检查', 'CT检查']"
颧骨骨折,"['CT检查', '四肢的骨和关节平片']"
缺血性坏死,"['磁共振血管造影', 'CT血管成像', 'CT检查', '核磁共振成像(MRI)', 'X线碘油造影']"
屈肌腱损伤,"['CT检查', '肌电图', '四肢的骨和关节平片']"
前斜角肌综合征,"['骨关节及软组织CT检查', '四肢的骨和关节平片']"
桡骨小头骨骺分离,"['四肢的骨和关节平片', 'CT检查', '核磁共振成像(MRI)', 'X线碘油造影']"
桡骨下端骨折,"['餐叉畸形', '四肢的骨和关节平片']"
桡骨颈骨折,"['四肢的骨和关节平片', 'CT检查', 'X线碘油造影', '核磁共振成像(MRI)']"
桡骨、尺骨茎突骨折,"['腕三角软骨挤压试验', '四肢的骨和关节平片']"
桡骨小头半脱位,"['四肢的骨和关节平片', 'CT检查', 'X线碘油造影', '核磁共振成像(MRI)']"
软骨肉瘤,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
软骨瘤,"['骨关节及软组织CT检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
软骨发育异常,"['骨关节及软组织CT检查', '关节检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
软骨发育不全,"['维生素', '维生素D', '四肢的骨和关节平片', '骨与关节MRI检查']"
桡骨小头骨折,"['四肢的骨和关节平片', 'CT检查', 'X线碘油造影', '核磁共振成像(MRI)']"
桡骨远端骨折,"['四肢的骨和关节平片', '洛日埃征']"
松毛虫性骨关节病,"['脓汁和创伤感染标本细菌学检查', '核磁共振成像(MRI)', '白细胞计数（WBC）', 'X线碘油造影', 'CT检查']"
锁骨骨折,['四肢的骨和关节平片']
枢椎齿状突骨折,['四肢的骨和关节平片']
神经性关节病,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查', '神经系统检查']"
神经卡压综合征,"['核磁共振成像(MRI)', '肌电图', 'X线碘油造影', '神经系统检查', 'CT检查']"
伸指肌腱损伤,"['核磁共振成像(MRI)', 'X线碘油造影', 'CT检查']"
少年性椎体骨软骨病,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
色素绒毛结节性滑膜炎,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
同型胱氨酸尿症,"['尿蛋氨酸（Met）', '胱氨酸', '血管造影']"
退变性关节病,"['关节腔液检查', '血液检查', '滑液检查']"
听小骨创伤,"['耳鼻咽喉CT检查', '头颅平片', '听力检查法']"
特发性脊柱侧凸,"['尿常规', '脊柱MRI检查', '血常规', '肺功能检查']"
透明细胞软骨肉瘤,"['骨关节及软组织CT检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
维生素D缺乏性佝偻病,"['血清钙', '维生素', '维生素D（VitD）', '维生素D', '四肢的骨和关节平片']"
无脊髓损伤的颈椎骨折脱位,"['脊椎平片', '颈椎CT检查', '神经系统检查', '骨与关节MRI检查', '骨关节及软组织CT检查']"
腕舟骨骨折,"['四肢的骨和关节平片', 'X线碘油造影', '核磁共振成像(MRI)', 'CT检查']"
腕管综合征,"['举一手试验', '骨关节及软组织CT检查', '四肢的骨和关节平片', '中指试验', '关节镜检查', '肌电图', '神经系统检查']"
腕关节结核,"['结核杆菌检查', '四肢的骨和关节平片', '结核菌素试验（OT,PPD）']"
斜颈,"['骨关节及软组织CT检查', '头颅平片', '核磁共振成像(MRI)', 'CT检查', '脊椎平片']"
先天性肘关节融合,"['四肢的骨和关节平片', '核磁共振成像(MRI)', 'CT检查', 'X线碘油造影']"
先天性仰趾外翻足,"['四肢的骨和关节平片', '跟轴线测量', 'X线碘油造影', 'CT检查', '核磁共振成像(MRI)']"
先天性锁骨假关节,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查', 'X线碘油造影']"
先天性马蹄内翻足,"['肌电图', '足长轴与两踝连线的测量']"
先天性髋内翻,"['骨关节及软组织CT检查', '骨与关节MRI检查', '四肢的骨和关节平片', '尼拉通线测量']"
先天性胫骨假关节,"['四肢的骨和关节平片', '骨关节及软组织CT检查', '骨与关节MRI检查']"
先天性脊柱侧凸,"['脊柱椎体平扫', '脊柱MRI检查', '神经系统检查', 'CT检查', '维生素D', '维生素']"
先天性肌性斜颈,"['脊柱MRI检查', '脊柱椎体平扫', '颈椎CT检查']"
先天性高肩胛症,"['肩胛骨检查', '四肢的骨和关节平片', '骨关节及软组织CT检查', 'X线碘油造影', '核磁共振成像(MRI)']"
先天性尺桡骨融合,"['骨关节及软组织CT检查', '骨与关节MRI检查', '四肢的骨和关节平片', 'X线碘油造影']"
颈椎双侧关节突关节脱位,"['颈椎CT检查', '脊椎平片', '核磁共振成像(MRI)', 'X线碘油造影']"
习惯性髌骨脱位,"['四肢的骨和关节平片', '核磁共振成像(MRI)', 'CT检查', 'X线碘油造影']"
膝关节结核,"['类风湿因子', '四肢的骨和关节平片', '神经系统检查', '麦克马瑞试验', '结核菌素试验（OT,PPD）']"
先天性桡骨缺如,"['骨关节及软组织CT检查', '四肢的骨和关节平片', '骨与关节MRI检查']"
胸椎结核椎旁脓肿穿入胸腔,"['脓汁和创伤感染标本细菌学检查', '胸腔积液检查', '胸部平片', '胸部MRI', '胸部CT检查', '血常规']"
先天性颅锁骨发育不全,"['颅脑CT检查', '四肢的骨和关节平片', '头颅平片', '颅脑MRI检查']"
下背部痛,"['肌电图', '四肢的骨和关节平片', 'CT检查', '核磁共振成像(MRI)', 'X线碘油造影']"
纤维肌痛症,"['类风湿因子', '大生化检查', '肌电图', '风湿病化验检查项目']"
先天性椎体畸形,"['脊柱MRI检查', '脊柱椎体平扫', 'X线碘油造影', 'CT检查', '核磁共振成像(MRI)']"
先天性外展性髋挛缩,"['骨关节及软组织CT检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
先天性胫骨缺如,"['骨关节及软组织CT检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
先天性颈椎齿状突畸形,"['脊柱MRI检查', '脊椎平片', '颈椎CT检查']"
先天性桡骨小头脱位,"['骨关节及软组织CT检查', 'X线碘油造影', '四肢的骨和关节平片', '骨与关节MRI检查']"
先天性多发性关节挛缩症,"['核磁共振成像(MRI)', '四肢的骨和关节平片', 'CT检查', '扫描电子显微镜']"
先天性垂直距骨,['四肢的骨和关节平片']
系统性红斑狼疮性关节炎,"['积液腺苷脱氢酶', '抗核抗体（ANA）', '抗双链DNA抗体（ani-DNA）', '狼疮细胞', '骨关节及软组织CT检查', '血常规', '放射免疫分析', '细胞免疫检查']"
膝关节创伤性滑膜炎,"['核磁共振成像(MRI)', '白细胞计数（WBC）', 'X线碘油造影', '四肢的骨和关节平片', 'CT检查']"
膝关节半月板损伤,"['骨关节及软组织CT检查', '半蹲试验', '半月板损伤的体征', '蹲下试验', '夫欧契试验', '凯洛格-斯皮德试验', '膝关节过伸试验', '研磨试验', '四肢的骨和关节平片', '造影检查']"
先天性肩关节脱位,"['一般摄片检查', '骨关节及软组织CT检查', '方肩检查', '肩关节外展试验', '肩胛骨检查', '脊椎平片']"
旋转带肌腱炎,"['肩关节外展试验', '磁共振平扫', '四肢的骨和关节平片', '骨与关节MRI检查', 'CT造影扫描']"
腰肌劳损,"['CT检查', '仰卧挺腹试验', '脊椎平片', '骨密度测定']"
月状骨骨软骨病,"['核磁共振成像(MRI)', '屈腕试验', '伸腕试验', '四肢与关节运动功能', '骨与关节MRI检查']"
月骨脱位,"['骨关节及软组织CT检查', '屈腕试验', '屈指试验', '骨与关节MRI检查', '神经系统检查']"
腰部慢性劳损,"['核磁共振成像(MRI)', '腰背部检查', '腰背痛体格检查', '脊椎平片', 'CT检查']"
眼眶击出性骨折,"['眼科检查', '眼球和眼眶的超声检查', '颌面五官CT检查', '眼球运动检查', '眼球及眼眶检查法', '一般摄片检查']"
眼眶骨折,"['儿童五官科检查', '眼及眶区CT检查', '动眼神经检查', '眼功能检查', '眼科检查']"
坐骨神经痛,"['类风湿因子', '拉塞格征', '端坐伸膝试验', '神经系统检查', 'CT检查']"
跖骨疲劳性骨折,"['骨关节及软组织CT检查', '骨骼触诊', '四肢与关节运动功能', '四肢的骨和关节平片', 'CT检查']"
灼性神经痛,"['CT造影扫描', '神经系统检查', '肌电图', '红外热象图检查']"
椎管内结核肉芽肿,"['核磁共振成像(MRI)', '脑脊液动力学试验', 'CT检查']"
肘关节结核,"['CT检查', '骨与关节MRI检查', '类风湿因子', '血常规', '血沉方程K值', '肘直线检查', '结核菌素试验（OT,PPD）']"
跖骨、趾骨骨折,"['骨关节及软组织CT检查', '四肢与关节运动功能', '四肢的骨和关节平片', '压痛及反跳痛']"
掌指关节脱位,"['四肢的骨和关节平片', 'CT检查']"
肘关节脱位,"['骨关节及软组织CT检查', '肘后三角检查', '肘直线检查', '四肢的骨和关节平片', '骨与关节MRI检查', '神经系统检查']"
肢骨纹状肥大,"['骨密度测定', '四肢的骨和关节平片', '神经系统检查']"
椎弓结核,"['结核杆菌检查', '骨密度测定', '脊椎平片', '神经系统检查', 'CT造影扫描', '颈椎CT检查']"
趾间神经痛,"['CT检查', '四肢的骨和关节平片']"
肘关节骨化肌炎,"['骨密度测定', '四肢的骨和关节平片', '伸肘试验', '骨关节及软组织CT检查', '屈肘试验']"
肘关节强直,"['核磁共振成像(MRI)', '网球肘试验', '四肢的骨和关节平片', '骨与关节MRI检查', '神经系统检查', 'CT检查']"
肘外翻,"['四肢的骨和关节平片', '伸肘试验', '神经系统检查', '屈肘试验', '小指短屈肌肌力试验']"
足舟状骨骨软骨病,"['骨密度测定', '四肢的骨和关节平片', 'CT检查']"
姿态性腰腿痛,"['脊椎平片', '腰部活动度', '腰背痛体格检查', '骨密度测定']"
周围性软骨肉瘤,"['CT检查', '核磁共振成像(MRI)', 'CT造影扫描', '免疫病理检查', '骨密度测定']"
致密性髂骨炎,"['四肢的骨和关节平片', '骨密度测定', '骨盆分离试验', '骨盆挤压试验']"
跖趾关节痛,"['骨骼触诊', '四肢的骨和关节平片', 'CT检查', '神经系统检查', '类风湿因子']"
闭合性脑外伤,"['颅脑CT检查', '脉搏', '腰椎穿刺', '血管造影', '核磁共振成像(MRI)', '颅脑超声检查']"
鼻窦创伤,"['鼻窦检查', 'CT检查', '感染免疫检测', '视力']"
鼻疖,"['鼻粘膜及鼻腔分泌物', '淋巴显像', '外鼻检查', '鼻前庭']"
鼻窦气压性创伤,"['鼻窦检查', '耳鼻咽喉CT检查', '细菌感染免疫检测', '口腔X光片检查', '鼻粘膜及鼻腔分泌物']"
爆震性耳聋,"['耳蜗电图', '听力检查', '鼓膜', '耳鼻咽喉CT检查']"
创伤性溃疡,"['血常规', '白细胞计数（WBC）', '白细胞分类计数']"
尺神经损伤,"['小指外展试验', '小指屈指试验', '肌电图', '花托试验', '拇指对掌试验', '拇指小指尖相对试验', '神经系统检查']"
创伤性鼻中隔穿孔,"['涂片', '鼻腔内镜检查', '鼻中隔', '鼻粘膜及鼻腔分泌物']"
创伤性鼻出血,"['耳鼻咽喉CT检查', '鼻窦检查', '鼻部检查', '血管造影', '头颅平片', '鼻咽部MRI检查']"
电击伤,"['心电图', '抗肌球蛋白抗体', '脉搏', '呼吸运动检查', '尿液分析', '全血细胞计数']"
非冻结性冷伤,"['皮肤颜色', '血常规', '白细胞计数（WBC）']"
腹部创伤,"['腹腔穿刺', '腹部平片', '膀胱造影', '腹腔镜']"
鼓膜外伤,"['耳部检查', '鼓膜', '听力检查', '外耳道', '乳突']"
喉部创伤,"['耳鼻咽喉CT检查', '感染免疫检测', '呼吸动度']"
急性失血所致贫血,"['血细胞分析仪', '血小板计数（PLT）', '涂片']"
急性单纯外伤性腰腿痛,"['骶髂关节检查法', '腰腿痛的感觉检查', '脊椎平片', '神经系统检查', '压痛及反跳痛']"
晶体脱位,"['眼球和眼眶的超声检查', '裂隙灯', '散瞳验光', '视力']"
开放性脑外伤,"['感染免疫检测', '血管造影', '颅脑MRI检查', '意识状态', '呼吸运动检查', '脉搏', 'CT检查', '眼科检查', '腰椎穿刺']"
开放性手外伤,"['脓汁和创伤感染标本细菌学检查', '真菌组织病理学', '四肢的骨和关节平片', '神经系统检查', '运动功能检查']"
慢性单纯外伤性腰腿痛,"['脊柱MRI检查', '趾长伸肌肌力试验']"
脓性指头炎,"['血常规', '细菌感染免疫检测', '四肢的骨和关节平片']"
气压创伤性中耳炎,"['鼓膜', '耳部检查', '中耳', '耳镜检查法', '听力检查']"
强酸类中毒,"['尿常规', '瞳孔反射']"
梭状芽胞杆菌伤口感染,"['脓汁和创伤感染标本细菌学检查', '厌氧菌检测', '核磁共振成像(MRI)', '涂片', 'CT检查']"
头皮感染,"['头皮检查', '头颅平片', '细菌感染免疫检测']"
头外伤,"['颅脑CT检查', '头颅平片', '大生化检查', '血小板ATP释放试验', '血常规', '便常规']"
血胸,['红细胞计数(RBC)']
咽部机械性创伤,"['感染免疫检测', '脉搏']"
腰腿痛,"['四肢的骨和关节平片', '核磁共振成像(MRI)', 'CT检查', '体层摄影', '腰腿痛的感觉检查', '仰卧挺腹试验', '神经系统检查', '屈氏试验']"
咽喉部外伤,"['耳鼻咽喉CT检查', '呼吸动度', '细菌感染免疫检测', '纤维支气管镜检查']"
冻僵,"['细菌感染免疫检测', '脉搏', '呼吸动度', '皮肤颜色']"
电烧伤,"['细菌感染免疫检测', '尿常规', '心电图', '血细胞分析仪']"
化学烧伤,"['体温测量', '动态血压监测(ABPM)', '呼吸动度', '细菌感染免疫检测', '皮肤颜色', '尿常规']"
热烧伤,"['细菌感染免疫检测', '白细胞分类计数', '红细胞计数(RBC)', '氨基酸的检查', '脉搏', '尿常规', '血常规']"
应激性溃疡,"['上消化道X线钡餐', '胃蛋白酶', '胃泌素', '血常规']"
烧伤感染,"['血常规', '尿血红蛋白定性', '尿常规', '细菌感染免疫检测', '尿血红蛋白（uHB）', '真菌感染的实验室检查', '脉搏', '体温测量']"
烧伤,"['脉搏', '细菌感染免疫检测', '血清白蛋白（ALB,A）']"
烧伤休克,"['氧分压', '织网红细胞计数', '血液生化六项检查']"
头皮及颅骨烧伤,"['头皮检查', '全身状态检查', '细菌感染免疫检测']"
小儿烧伤,"['脉搏', '体温测量', '全身状态检查', '神经系统检查', '呼吸运动检查', '尿量']"
咽喉烧伤及化学伤,"['耳鼻咽喉CT检查', '细菌感染免疫检测', '吞咽试验']"
咽部灼伤,"['尿常规', '便常规', '细菌感染免疫检测', '神经系统检查', '呼吸运动检查']"
眼烧伤,"['眼科检查', '视神经检查', '眼睑检查', '视力', '全身状态检查']"
鸡眼,['皮肤颜色']
疖,"['凝固酶试验', '白细胞分类计数', '血常规', '皮损']"
皮肤囊肿,"['皮肤试验', '感染免疫检测']"
色素痣,"['皮肤颜色', '神经系统检查', '皮肤病的物理检查']"
痈,"['心电图', '白细胞分类计数']"
鼻血管瘤,"['视力', '头颅平片', '感染免疫检测', '鼻咽部MRI检查']"
急性动脉栓塞,"['多普勒超声心动图', '心电图', '血常规', '血液生化六项检查', '造影检查', '血管彩超']"
