disease_name,nutrition_do_eat,nutrition_not_eat,nutrition_recommend_eat
原发性视网膜色素变性,"['栗子（鲜）', '葵花子仁', '白果（干）', '绿豆']","['干腌菜', '白酒', '鸭血(白鸭)', '腐竹']","['罗汉果金银菜柿饼汤', '双菇番茄黄瓜紫菜汤', '紫菜芙蓉汤', '菠菜双蛋羹', '香菇油菜面筋粥', '干冬菜粥', '培根白菜粥', '冬菇椰菜豆腐粉丝汤']"
眼球震颤,"['南瓜子仁', '栗子（鲜）', '葵花子仁', '白果（干）']","['白酒', '鸭血(白鸭)', '腐竹', '赤小豆']","['草鱼豆腐', '野菊花烧草鱼', '糖醋草鱼', '南瓜团子', '绿豆南瓜汤', '青椒南瓜', '水晶南瓜', '肉末南瓜']"
眼球破裂伤,"['栗子（鲜）', '葵花子仁', '白果（干）', '绿豆']","['白酒', '鸭血(白鸭)', '腐竹', '赤小豆']","['清蒸甲鱼', '牛奶菠菜粥', '牛奶麦片粥', '苦瓜瘦肉汤', '苦瓜粥', '胡萝卜咸粥', '胡萝卜炒猪肝', '玉米须炖蚌肉']"
眼球内陷,"['薇菜', '鸡肉', '栗子（鲜）', '葵花子仁']","['干腌菜', '白酒', '鸭血(白鸭)', '腐竹']","['什菜面', '青菜饭', '香菇油菜面筋粥', '牛奶菠菜粥', '紫菜色拉卷', '猪肉青菜粥', '雪菜肉末粥', '冬菇椰菜豆腐粉丝汤']"
眼睑湿疹,"['栗子（鲜）', '葵花子仁', '白果（干）', '绿豆']","['黄酒', '白酒', '鸭血(白鸭)', '腐竹']","['当归炖甲鱼', '牛奶花生粥', '南瓜牛奶汁', '胡萝卜番茄汤', '胡萝卜香瓜汁', '冬瓜杂粮羹']"
翼状胬肉,"['栗子（鲜）', '葵花子仁', '白果（干）', '绿豆']","['白酒', '鸭血(白鸭)', '腐竹', '赤小豆']","['猪肉青菜粥', '芹菜猪肉蒸饺', '木瓜胡萝卜玉米粥', '玉米牛奶浓汤', '南瓜粥', '南瓜奶汤']"
紫外线伤,"['鸡蛋', '栗子（鲜）', '葵花子仁', '白果（干）']","['黄酒', '白酒', '鸭血(白鸭)', '腐竹']","['玉米粥', '蛋蓉玉米羹', '冬瓜粥', '冬瓜枸杞汤', '南瓜大麦粥']"
中心性渗出性脉络膜视网膜炎,,,
真菌性角膜溃疡,"['栗子（鲜）', '葵花子仁', '白果（干）', '绿豆']","['黄酒', '白酒', '鸭血(白鸭)', '腐竹']","['茭白猪肉粥', '冬菇茭白汤', '冬瓜粥', '苦瓜瘦肉汤', '藕片汤']"
中心性浆液性脉络膜视网膜病变,"['鸡蛋', '栗子（鲜）', '葵花子仁', '白果（干）']","['黄酒', '白酒', '鸭血(白鸭)', '腐竹']","['猪肝鸡蛋粥', '芹菜炒鸡蛋', '猪肉玉米粥', '木瓜胡萝卜玉米粥', '玉米粥', '三鲜冬瓜汤', '香菇冬瓜汤']"
中毒性弱视,"['薇菜', '腰果', '栗子（鲜）', '葵花子仁']","['干腌菜', '白酒', '鸭血(白鸭)', '腐竹']","['花豆腐生菜瘦肉汤', '双菇番茄黄瓜紫菜汤', '罗汉果金银菜柿饼汤', '卷心菜菠萝汁', '紫菜芙蓉汤', '菠菜双蛋羹', '青菜饭', '什菜面']"
周边葡萄膜炎,"['鸡肉', '芝麻', '腰果', '栗子（鲜）']","['白酒', '鸭血(白鸭)', '腐竹', '赤小豆']","['鸡肉白薯粥', '鸡肉蒸饺', '赤小豆鲤鱼汤', '鲤鱼粥', '黄瓜拌绿豆芽', '炒绿豆芽', '荷兰豆饺', '清炒荷兰豆']"
真菌性角膜炎,"['芝麻', '腰果', '栗子（鲜）', '葵花子仁']","['黄酒', '白酒', '鸭血(白鸭)', '腐竹']","['胡萝卜苦瓜汁', '苦瓜排骨汤', '茭白猪肉粥', '香菇茭白汤', '绿豆冬瓜汤', '冬瓜荷叶瘦肉汤']"
阿斯匹林不耐受三联症,"['芝麻', '腰果', '栗子（鲜）', '葵花子仁']","['白酒', '鸭血(白鸭)', '腐竹', '赤小豆']","['番茄苹果汁', '玉米粥', '人参小米粥', '豆薯小米粥', '鲜菇小米粥', '芝麻小米粥']"
鼻硬结病,"['鸡蛋', '芝麻', '腰果', '栗子（鲜）']","['啤酒', '白酒', '鸭血(白鸭)', '腐竹']","['冬虫草鸡汤', '冬虫草米粥', '冬虫草炖鸭']"
鼻出血,"['鸡蛋', '鸭翅', '栗子（鲜）', '葵花子仁']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['蘑菇炖鸡', '清炒蘑菇', '番茄牛肉汤', '番茄牛茸羹', '火腿冬笋鳝鱼汤', '归参鳝鱼羹', '山药薏米红枣粥', '薏米莲子粥']"
鼻腔异物,"['鸡蛋', '鸭翅', '栗子（鲜）', '葵花子仁']","['啤酒', '白酒', '鸭血(白鸭)', '花生']","['云腿鸽子汤', '乌鱼木瓜汤', '酸辣乌鱼蛋汤', '炒胡萝卜', '胡萝卜枸杞汁', '猪肝炒胡萝卜', '糖醋胡萝卜丝', '胡萝卜炒肉丝粉']"
鼻息肉,"['鸡蛋', '鸭翅', '栗子（鲜）', '葵花子仁']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['鱼腥草烧猪肺', '海带粥', '杞子南枣煲鸡蛋', '何首乌煲鸡蛋', '百合圆肉煲鸡蛋', '海带粳米粥', '海带炖豆腐', '黄豆芽拌海带']"
鼻中隔偏曲,"['鸭翅', '栗子（鲜）', '葵花子仁', '白果（干）']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['山药桂圆粥', '桂圆黑豆粥', '桂圆栗子粥', '红白萝卜汤', '白萝卜烩鸡']"
鼻中隔血肿,"['鸭翅', '莲子', '栗子（鲜）', '葵花子仁']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['山药桂圆粥', '山药羊肉粥', '山药奶肉羹', '薄荷莲子羹', '清甜莲子']"
鼻中隔穿孔,"['鸡蛋', '鸭翅', '栗子（鲜）', '葵花子仁']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['云腿鸽子汤', '乌鱼木瓜汤', '酸辣乌鱼蛋汤', '黄瓜猪肉水饺', '芹菜猪肉蒸饺']"
扁桃体周围脓肿,"['鸭翅', '栗子（鲜）', '葵花子仁', '白果（干）']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['香菇扒白菜', '白菜扒猪肝', '白菜肉末粥', '苦瓜瘦肉汤', '胡萝卜苦瓜汁']"
鼻前庭炎,"['鸭翅', '栗子（鲜）', '葵花子仁', '核桃']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['胡萝卜猪肝汤', '绿豆南瓜汤', '南瓜大麦粥', '绿豆奶粥', '薏仁绿豆汤', '百合莲子绿豆粥']"
鼻中隔溃疡,"['鸭翅', '栗子（鲜）', '葵花子仁', '白果（干）']","['啤酒', '白酒', '鸭血(白鸭)', '花生']","['香菇牛肉粥', '香菇冬瓜汤', '百合绿豆沙羹', '核桃芝麻百合粥', '冬瓜粥', '酿冬瓜']"
鼻石,"['鸭翅', '栗子（鲜）', '葵花子仁', '白果（干）']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['山药葡萄粥', '山药桂圆粥', '茯苓大枣山药粥', '芹菜炒鸡蛋', '鸡蛋木耳粥', '牛奶玉米汤', '牛奶杏仁粥']"
鼻瓣区狭窄,"['鸡蛋', '鸭翅', '栗子（鲜）', '葵花子仁']","['鸭血(白鸭)', '花生', '赤小豆', '白扁豆']","['甘蔗萝卜汤', '猪肉玉米粥', '黄瓜猪肉羹', '芹菜炒鸡蛋', '桂圆鸡蛋汤', '牛奶杏仁粥', '牛奶麦片粥']"
病毒性咽炎,"['鸭翅', '栗子（鲜）', '葵花子仁', '白果（干）']","['咸鸭蛋', '鸭血(白鸭)', '花生', '赤小豆']","['桔梗甘草茶', '甘草小麦大枣汤', '芙蓉羊肚菌', '羊肚菌炒松仁', '炒胡萝卜', '木瓜胡萝卜玉米粥', '胡萝卜粥', '芦笋胡萝卜汁']"
鼻窦炎,"['鹿肉', '鸡蛋', '鸭翅', '芝麻']","['鸭血(白鸭)', '赤小豆', '白扁豆', '田螺']","['三丝瓜羹', '杞子南枣煲鸡蛋', '百合圆肉煲鸡蛋', '山药炖猪蹄', '百合蜜枣猪蹄汤', '豆芽猪蹄汤', '猪蹄当归粥', '花生猪蹄汤']"
鼻恶性肉芽肿,"['鸭翅', '芝麻', '松子仁', '栗子（熟）']","['咸鸭蛋', '鸭血(白鸭)', '赤小豆', '白扁豆']","['海带瘦肉粥', '海带粳米粥', '紫菜鸡蛋汤', '紫菜萝卜汤', '红萝卜海蜇粥', '海蜇猪骨汤']"
白喉,"['鸭翅', '芝麻', '松子仁', '葵花子仁']","['鸭血(白鸭)', '赤小豆', '白扁豆', '田螺']","['丝瓜汤', '玉米须粥', '木瓜胡萝卜玉米粥', '萝卜粥', '白菜包子', '小白菜馅包子', '菠菜豆腐汤', '菠菜双蛋羹']"
大疱性鼓膜炎,"['鸡蛋', '鸭翅', '芝麻', '腰果']","['鸭血(白鸭)', '赤小豆', '白扁豆', '田螺']","['牛奶蛋花粥', '牛奶窝蛋莲子汤', '鱼肉鸡蛋汤', '芹菜炒香菇', '番茄芹菜汁', '竹笋沙拉', '竹笋粥', '黄瓜粳米粥']"
耳源性脑膜炎,"['鸭翅', '芝麻', '腰果', '松子仁']","['鸭血(白鸭)', '赤小豆', '白扁豆', '田螺']","['芹菜牛肉粥', '菠菜芹菜粥', '竹笋米粥', '竹笋沙拉', '黄瓜饺', '黄瓜拌绿豆芽', '腰果西兰花', '腰果拌西芹']"
耳后骨膜下脓肿,"['鸭翅', '芝麻', '松子仁', '莲子']","['鸭血(白鸭)', '赤小豆', '白扁豆', '田螺']","['苦瓜粥', '苦瓜瘦肉汤', '银耳百合粥', '百合莲子绿豆粥', '绿豆奶粥', '绿豆薏仁汤']"
腭咽闭合不全,"['鸭翅', '芝麻', '松子仁', '莲子']","['鸭血(白鸭)', '赤小豆', '白扁豆', '田螺']","['芝麻小米粥', '鸡肝小米粥', '鸡蛋面', '桂圆鸡蛋汤', '牛奶玉米汤', '南瓜牛奶汁', '木瓜胡萝卜玉米粥', '胡萝卜粥']"
分泌性中耳炎,"['鸭翅', '芝麻', '松子仁', '莲子']","['咸鸭蛋', '鸭血(白鸭)', '赤小豆', '白扁豆']","['海带瘦肉粥', '海带绿豆糖水', '芹菜炒香菇', '芹菜粥', '竹笋米粥', '番茄黄瓜汁', '黄瓜粳米粥']"
过敏性鼻炎,"['蜂蜜', '鸭翅', '鸡心', '鸡肉']","['鸭血(白鸭)', '杏仁', '绿豆', '赤小豆']","['熟地黄芪芡实羹', '凉拌紫苏叶', '枸杞叶粥', '柏子仁鸡心', '炒羊肚丝', '腐竹猪肝粥', '香椿芽粥', '糯米莲藕']"
干酪性鼻炎,"['鸭翅', '鸡心', '鸡肉', '松子仁']","['鸭血(白鸭)', '杏仁', '绿豆', '赤小豆']","['香菇扒小白菜', '白菜粥', '百合炒西兰花', '素炒西兰花', '西瓜羹', '苹果', '胡萝卜苹果汁', '炖奶汤鲫鱼萝卜丝']"
鼓室硬化症,"['鸭翅', '鸡心', '鸡肉', '松子仁']","['黄酒', '白酒', '鸭血(白鸭)', '杏仁']","['芹菜炒香菇', '炒芹菜', '丝瓜汤', '丝瓜猪肉汤', '茄子粥', '三鲜茄子', '荠菜包子', '黄瓜粳米粥']"
过强反射性鼻炎,"['鸭翅', '鸡心', '鸡肉', '松子仁']","['黄酒', '白酒', '鸭血(白鸭)', '杏仁']","['白萝卜浓汤', '胡萝卜香菜粥', '糯米桂花藕', '炒脆藕', '苦瓜瘦肉汤', '苦瓜粥']"
颌骨骨髓炎,"['鸭翅', '鸡肉', '芝麻', '松子（炒）']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['白菜粥', '小白菜馅包子', '奶油白菜', '紫菜色拉卷', '紫菜芙蓉汤', '紫菜鸡蛋莲草汤', '紫菜豆腐肉片汤', '紫菜瘦肉粥']"
化脓性耳廓软骨膜炎,"['鸭翅', '鸡肉', '芝麻', '腰果']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['芹菜炒香菇', '芹菜炒土豆丝', '黄瓜饺', '番茄黄瓜汁', '芝麻拌白菜丁', '芝麻豆腐', '白果莲子粥', '莲子黑枣小麦汤']"
喉阻塞,"['鸭翅', '鸡肉', '松子仁', '葵花子仁']","['鸡蛋黄', '杏仁', '绿豆', '赤小豆']","['黄瓜三丝汤', '素炒菠菜', '蘑菇木耳西兰花腐竹汤', '木瓜胡萝卜玉米粥', '清炒木耳菜', '萝卜生菜汤', '茄子粥']"
喉气囊肿,"['鸡蛋', '鸭翅', '鸡肉', '松子仁']","['杏仁', '绿豆', '腐竹', '赤小豆']","['菠菜豆腐汤', '清茶豆腐羹', '豆浆粥', '芝麻黑豆粥', '发菜鱼片芫荽汤', '鲜百合冬菇西兰花汤', '黄瓜木耳汤']"
急性扁桃体炎,"['鸭翅', '鸡肉', '松子仁', '葵花子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['白萝卜炖猪排骨', '白萝卜油菜汁', '白萝卜水饺', '葱油白萝卜', '炒胡萝卜', '胡萝卜粥', '胡萝卜拌青笋', '胡萝卜炒木耳']"
茎突综合征,,,
间断脉冲噪音损伤,,,
甲状舌囊肿及瘘管,"['鸭翅', '鸡腿', '鸡肉', '腰果']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['清田鸡腿', '西汁素鸡腿', '双皮鲫鱼', '鲫鱼羹', '银耳瘦肉羹', '银耳绿豆粥', '腰果西兰花', '腰果拌西芹']"
急性舌扁桃体炎,"['鸭翅', '鸡肉', '杏仁', '松子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['蟹黄豆腐', '土豆泥子汤', '拔丝土豆', '香蕉葡萄粥', '卷心菜菠萝汁', '白萝卜梨汁', '黑芝麻果仁粥', '早餐粥']"
急性化脓性乳突炎,"['鸭翅', '鸡肉', '鸡翅', '松子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['三文鱼蒸蛋羹', '山楂煮鸡翅', '可乐鸡翅', '西兰花炒蚌', '三丝白菜卷', '草莓蛋糕', '西芹油菜牛奶汁', '猪肝绿豆粥']"
急性单纯性咽炎,"['鸭翅', '鸡肉', '葵花子仁', '花生']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['紫菜芙蓉汤', '紫菜肉片汤', '紫菜饭卷', '紫菜豆花羹', '五丝白菜卷', '小白菜馅包子', '香菇扒白菜', '醋溜白菜(二)']"
急性鼻咽炎,"['鸡蛋', '鹌鹑蛋', '鸭翅', '鸡肉']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['鹌鹑蛋蔬菜串', '香卤鹌鹑蛋', '鸡蛋黄泥', '豆腐鸡蛋锅贴', '炒绿豆芽', '菠菜绿豆芽', '清炒绿豆芽', '萝卜豆腐汤']"
急性化脓性中耳炎,"['鸭翅', '鸡肉', '鸡翅', '葵花子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['砂锅鱼头豆腐', '三文鱼饺', '鸡汤馄饨', '清蒸红汤鸡翅', '可乐鸡翅', '蛋饺白菜', '开水白菜', '番茄草莓汁']"
急性化脓性鼻窦炎,"['鸭翅', '鸡肉', '芝麻', '葵花子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['木耳粥', '红枣银耳木耳猪腱汤', '番茄芦笋紫菜汤', '大米荔枝粥', '荔枝桂圆方', '蟹黄豆腐', '牛肉焖黄豆', '草莓西瓜汁']"
急性会厌炎,"['鸭翅', '鸡肉', '芝麻', '葵花子仁']","['杏仁', '赤小豆', '白扁豆', '螃蟹']","['肉片柿子汤', '木瓜胡萝卜玉米粥', '木瓜鲜奶', '番茄黄瓜汁', '紫菜豆腐虾米瘦肉汤', '蘑菇木耳西兰花腐竹汤', '桔梗甘草茶', '百合炒西兰花']"
急性喉炎,"['鸭翅', '鸡肉', '葵花子仁', '花生']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['小白菜馅包子', '白菜包子', '土豆丝拌白菜', '芝麻拌白菜丁', '粉蒸白菜', '小白菜氽丸子', '白菜丸子汤', '素炒菠菜']"
急性鼻炎,"['鸭翅', '鸡肉', '葵花子仁', '花生']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['清盐菜花', '肉片烧菜花', '菜花土豆汤', '菜花烩鸽蛋', '豌豆菜花', '小米素羹', '小米面发糕', '芝麻小米粥']"
结核性中耳乳突炎,"['鸭翅', '鸡肉', '鸡翅', '葵花子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['羊肉温补汤', '糖醋三文鱼', '豆腐烧油菜', '培根白菜粥', '素炒空心菜', '香菇西兰花', '猪肝菠菜粥', '枸杞猪肝蛋花汤']"
酒渣鼻,,,
口咽部粘连,"['鸭翅', '鸡肉', '葵花子仁', '花生']","['杏仁', '绿豆', '腐竹', '赤小豆']","['山药桂圆粥', '砂锅鱼头豆腐', '卤汁豆腐', '丝瓜豆腐瘦肉汤', '土豆肉末粥', '肉末凉面', '豆腐泡金针云耳白菜汤', '白萝卜梨汁']"
蓝鼓膜与胆固醇肉芽肿,"['鸭翅', '鸡肉', '葵花子仁', '花生']","['杏仁', '绿豆', '腐竹', '赤小豆']","['鸡蛋豆腐汤', '荠菜鸡蛋汤', '牛奶菠菜粥', '牛奶杏仁粥', '菠菜豆腐汤', '菠菜虾米汤', '木瓜胡萝卜玉米粥', '胡萝卜粥']"
链球菌性咽炎,"['鸭翅', '鸡肉', '芝麻', '葵花子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['香蕉葡萄粥', '素炒新西兰菠菜', '菠菜橘子汁', '木耳芝麻茶', '百合芝麻猪心汤', '木瓜胡萝卜玉米粥', '鲜百合冬菇西兰花汤', '山药黄豆肉骨汤']"
粒性白细胞缺乏性咽峡炎,"['鸭翅', '鸡肉', '芝麻', '葵花子仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['菠菜羹', '番茄苹果汁', '果汁白菜', '芒果拼盘', '鲜百合冬菇西兰花汤', '蘑菇木耳西兰花腐竹汤', '蜜汁牛蒡', '芝麻核桃蜜']"
面肌痉挛,"['鸭翅', '鸡肉', '芝麻', '桃仁']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['花生菠菜粥', '桃仁红枣粥', '糖水樱桃', '高粱米糕', '鸡肉白薯粥', '小白菜馅包子', '水萝卜丝拌白菜', '香菇炒菜花']"
迷路炎,,,
美尼尔氏综合症,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['啤酒', '白酒', '杏仁', '绿豆']","['苦瓜豆腐汤', '黄瓜拌绿豆芽', '瑶柱冬瓜海鲜汤', '鲜蘑黄瓜汤', '丝瓜豆腐瘦肉汤', '双菇番茄黄瓜紫菜汤', '花样果肉薏米粥', '豌豆瘦肉粥']"
迷路震荡,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['啤酒', '白酒', '杏仁', '绿豆']","['白菜小米卷', '小米枣仁粥', '鸡蛋豆腐汤', '紫菜鸡蛋汤', '牛奶大米饭', '牛奶冬瓜', '玉米粉燕麦粥', '燕麦粳米粥']"
迷路窗破裂,,,
弥漫性外耳道炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['绿豆', '赤小豆', '白扁豆', '螃蟹']","['羊肉烩面', '菠菜豆腐汤', '牛奶椰汁', '三文鱼蒸蛋羹', '山楂煮鸡翅', '红萝卜紫菜合掌瓜汤', '油菜苹果牛奶汁', '西兰花炒虾仁']"
慢性舌扁桃体炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['玉竹白菜', '番茄橘子汁', '甘笋菠菜豆腐汤', '萝卜生菜汤', '番茄苹果汁', '葡萄干莲子汤', '鸡汤馄饨', '荞麦面条']"
慢性额窦炎,"['鸭蛋', '鸡蛋', '鸡蛋', '鸭翅']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['双皮鲫鱼', '双菇鲫鱼汤', '白菜包子', '小白菜馅包子', '芦笋饺', '芦笋汁', '绿豆芽饺', '黄瓜拌绿豆芽']"
慢性蝶窦炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['冬瓜鲢鱼汤', '鲢鱼炖豆腐', '小白菜馅包子', '白菜包子', '清炒绿豆芽', '黄瓜拌绿豆芽', '番茄芦笋紫菜汤', '凉拌芦笋']"
慢性单纯性咽炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '绿豆', '赤小豆', '白扁豆']","['凉拌海米芹菜', '大蒜黄萝卜生菜清汤', '菠菜炖豆腐', '银鱼仔蟹锅', '莲子红豆沙', '油菜叶拌豆腐丝', '菠萝水果冻', '阳春面']"
慢性化脓性中耳炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '赤小豆', '白扁豆', '螃蟹']","['软炸鱼卷', '草鱼豆腐', '素炒空心菜', '冬菇排骨白菜墨鱼干汤', '冬菇椰菜豆腐粉丝汤', '胡萝卜苹果汁', '白果鸡汤', '玉竹参果猪肉汤']"
慢性扁桃体炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '赤小豆', '白扁豆', '螃蟹']","['白萝卜梨汁', '白萝卜油菜汁', '白萝卜粥', '溜炒白萝卜', '白萝卜炖猪排骨', '黄瓜拌绿豆芽', '清炒绿豆芽', '绿豆芽炒菠菜']"
慢性喉炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['咸鱼', '螃蟹', '蛤蜊', '猪肚']","['素炒菠菜', '番茄菠菜汁', '菠菜豆腐汤', '炒香干菠菜', '菠菜炒粉丝', '菠菜蛋汤', '木瓜蛋奶汁', '银耳炖木瓜']"
慢性肥厚性鼻炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['啤酒', '杏仁', '赤小豆', '白扁豆']","['芝麻桃仁粥', '荔枝鸭粥', '肉末梨花豆腐汤', '拔丝土豆', '百合绿豆沙羹', '豆浆粥', '苦瓜豆浆汁', '黑米粥']"
慢性单纯性鼻炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['荔枝芎归炖乌鸡', '鲅鱼饺子', '木耳豆腐丁', '黑木耳煲红枣', '芒果密瓜烩蟹', '牛奶香蕉糊', '土豆泥牛奶粥', '豆薯小米粥']"
慢性咽炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '螃蟹']","['黄豆芽蘑菇汤', '素炒黄豆芽', '黄豆芽拌芦荟', '黄豆芽炖豆腐', '素炒菠菜', '菠菜猪肝肉片汤', '甘笋菠菜豆腐汤', '炖大白菜']"
面神经瘤,,,
粘连性中耳炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['白果包', '果脯土豆饼', '拔丝白果', '苹果色拉', '凤梨墨鱼', '鸭梨粥', '川贝杏仁蒸雪梨', '百合炒芦笋']"
潜水性内耳损伤,"['蜂蜜', '鸭蛋', '鸡蛋', '鸭翅']","['白酒', '杏仁', '腐竹', '赤小豆']","['鸡蛋木耳粥', '香菇木耳焖豆腐', '芹菜蜜汁', '芹菜包子', '黄花菜炒黄瓜', '素炒黄花菜', '牛奶菠菜粥', '菠菜水饺']"
气管及食管异物,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['啤酒', '白酒', '杏仁', '腐竹']","['大白菜饺', '炖大白菜', '素炒圆白菜', '炝圆白菜', '糖醋圆白菜', '香菇扒小白菜', '素炒小白菜', '清爽西兰花']"
嗜酸细胞增多性非变态反应性鼻炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['菠菜双蛋羹', '芹菜炒肉片', '荔枝鸡翅', '豆腐番茄鱼片牛肉汤', '黑米党参山楂粥', '木瓜鲜奶', '草莓果酱', '赤小豆山药粥']"
上颌窦后鼻孔息肉,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['白酒', '鸡肉', '杏仁', '腐竹']","['牛奶菠菜粥', '牛奶玉米汤', '豆浆粥', '豆浆南瓜汤', '蛋液鲫鱼羹', '双菇鲫鱼汤', '百合鸡蛋黄汤', '鸡蛋黄花汤']"
鳃裂瘘管,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['白酒', '杏仁', '腐竹', '赤小豆']","['小米枣仁粥', '鲜菇小米粥', '牛奶玉米汤', '牛奶冬瓜', '鸡蛋面', '鸡蛋家常饼', '燕麦粳米粥', '玉米粉燕麦粥']"
腮腺隙感染,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['清田鸡腿', '西汁素鸡腿', '蘑菇木耳饺', '三鲜蘑菇', '番茄菠萝汁', '菠萝胡萝卜汁', '葡萄沙拉', '葡萄干粥']"
突发性聋,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['清蒸红汤鸡翅', '烩鸡翅', '小白菜馅包子', '白菜包子', '香菇油菜包', '西芹油菜牛奶汁', '菠菜豆腐汤', '菠菜双蛋羹']"
外耳道异物,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['虾仁鸡丝菠菜汤', '水果沙拉', '果仁排骨', '芝麻桃仁粥', '花豆腐生菜瘦肉汤', '白菜红枣牛腩汤', '白萝卜油菜汁', '芝麻土豆']"
萎缩性咽炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['甘笋菠菜豆腐汤', '土豆泥牛奶粥', '拔丝土豆', '花豆腐生菜瘦肉汤', '萝卜豆腐汤', '水果什锦奶羹', '水果沙拉', '木耳银芽海米粥']"
外耳道疖肿,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['白菜小米卷', '番茄芹菜汁', '橘子凉拌蔬菜', '三文鱼饺', '云耳枸杞蘑菇夜香花汤', '醋煮木耳', '油菜叶拌豆腐丝', '生菜鸡丝']"
萎缩性鼻炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['乳酪菠菜面包粥', '生菜包肉', '白果冬瓜粥', '南瓜团子', '木瓜胡萝卜玉米粥', '西瓜羹', '紫菜黄瓜汤', '凤梨果仁松糕']"
外耳道真菌病,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['鲜蘑油菜心', '素炒空心菜', '清润白菜鱼片汤', '鱼粥', '西兰花炒虾仁', '鸡翅炖鳝鱼', '枸杞桃仁鸡丁', '银耳樱桃羹']"
外耳道炎,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '赤小豆', '白扁豆', '螃蟹']","['人参石膏鸡肉汤', '鲜百合冬菇西兰花汤', '黑米粥', '五豆汤', '鸡汤馄饨', '桂圆草莓炒山药', '可乐鸡翅', '草莓菠菜汁']"
外耳湿疹,"['鸭蛋', '鸡蛋', '鸭翅', '鸡肉']","['杏仁', '腐竹', '赤小豆', '白扁豆']","['三米红枣桂圆粥', '花豆腐生菜瘦肉汤', '栗子鸡翅', '羊肉素菜拌饭', '桃杞鸡卷', '核桃豆腐羹', '猕猴桃西米粥', '枸杞核桃粥']"
